stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4246	1966	2	14	12	70	62	8							
4246	1966	2	14	15	70	62	5							
4246	1966	2	15	12	360	62	8							
4246	1966	2	15	15	360	46	8							
4246	1966	2	16	12	90	46	5							
4246	1966	2	16	15	90	26	4							
4246	1966	2	17	12	90	62	7							
4246	1966	2	17	15	90	62	7							
4246	1966	2	18	12	90	46	6							
4246	1966	2	19	12	90	46	0							
4246	1966	2	19	15	90	46	0							
4246	1966	2	21	12	360	67	8							
4246	1966	2	21	15	360	46	8							
4246	1966	2	22	12	90	67	8							
4246	1966	2	22	15	90	46	8							
4246	1966	2	23	12	360	46	8							
4246	1966	2	23	15	360	67	8							
4246	1966	2	24	12	90	46	7							
4246	1966	2	24	15	90	26	4							
4246	1966	2	25	12	90	46	6							
4246	1966	2	25	15	90	46	5							
4246	1966	2	26	12	90	67	8							
4246	1966	2	26	15	90	67	7							
4246	1966	2	28	12	180	46	7							
4246	1966	2	28	15	180	26	7							
4246	1966	3	1	12	90	46	2							
4246	1966	3	1	15	90	46	6							
4246	1966	3	2	12	90	10	8							
4246	1966	3	2	15	360	10	7							
4246	1966	3	3	12	90	67	2							
4246	1966	3	3	15	90	46	1							
4246	1966	3	4	12	360	46	8							
4246	1966	3	4	15	360	67	8							
4246	1966	3	5	12	90	26	0							
4246	1966	3	5	15	90	26	0							
4246	1966	3	7	12	90	46	7							
4246	1966	3	7	15	90	67	7							
4246	1966	3	8	12	320	67	8							
4246	1966	3	8	15	360	67	8							
4246	1966	3	9	12	320	46	8							
4246	1966	3	9	15	320	46	8							
4246	1966	3	10	12	90	26	2							
4246	1966	3	10	15	90	46	2							
4246	1966	3	11	12	90	46	1							
4246	1966	3	11	15	90	26	1							
4246	1966	3	12	12	90	26	1							
4246	1966	3	12	15	40	67	0							
4246	1966	3	14	12	90	26	0							
4246	1966	3	14	15	90	26	0							
4246	1966	3	15	12	90	26	0							
4246	1966	3	15	15	90	46	4							
4246	1966	3	16	12	360	26	5							
4246	1966	3	16	15	360	10	8							
4246	1966	3	17	12	90	26	8							
4246	1966	3	17	15	90	10	2							
4246	1966	3	18	12	360	67	8							
4246	1966	3	18	15	360	93	7							
4246	1966	3	19	12	320	26	7							
4246	1966	3	19	15	320	26	7							
4246	1966	3	21	12	320	46	8							
4246	1966	3	21	15	320	10	8							
4246	1966	3	22	12	90	26	3							
4246	1966	3	22	15	90	46	1							
4246	1966	3	23	12	180	93	8							
4246	1966	3	23	15	180	46	8							
4246	1966	3	24	12	320	67	8							
4246	1966	3	24	15	320	46	8							
4246	1966	3	28	12	180	93	8							
4246	1966	3	28	15	180	93	8							
4246	1966	3	29	12	360	10	3							
4246	1966	3	29	15	90	10	0							
4246	1966	3	30	12	90	26	2							
4246	1966	3	30	15	90	26	1							
4246	1966	3	31	12	90	10	0							
4246	1966	3	31	15	90	10	0							
4246	1966	4	1	12	90	10	1							
4246	1966	4	1	15	0	0	1							
4246	1966	4	2	12	160	10	3							
4246	1966	4	2	15	0	0	1							
4246	1966	4	4	12	90	26	0							
4246	1966	4	4	15	90	26	0							
4246	1966	4	5	12	90	26	8							
4246	1966	4	5	15	90	46	8							
4246	1966	4	6	12	90	46	0							
4246	1966	4	6	15	90	10	0							
4246	1966	4	9	12	90	10	0							
4246	1966	4	9	15	90	10	0							
4246	1966	4	12	12	360	26	0							
4246	1966	4	12	15	360	67	0							
4246	1966	4	13	12	90	10	6							
4246	1966	4	14	12	0	0	4							
4246	1966	4	14	15	0	0	3							
4246	1966	4	15	12	360	46	2							
4246	1966	4	15	15	360	26	1							
4246	1966	4	16	12	90	10	0							
4246	1966	4	16	15	360	46	0							
4246	1966	4	18	12	160	10	8							
4246	1966	4	18	15	340	10	8							
4246	1966	4	19	12	360	46	3							
4246	1966	4	19	15	360	26	4							
4246	1966	4	20	12	90	67	1							
4246	1966	4	20	15	90	67	1							
4246	1966	4	22	12	180	72	8							
4246	1966	4	22	15	90	46	8							
4246	1966	4	23	12	360	123	7							
4246	1966	4	23	15	360	190	7							
4246	1966	4	25	12	90	46	0							
4246	1966	4	25	15	90	10	0							
4246	1966	4	26	12	90	26	0							
4246	1966	4	26	15	140	46	0							
