stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4345	1985	2	11	9	0	0		10215	-202			63		
4345	1985	2	11	12	70	60		10225	-185			60		
4345	1985	2	11	15	60	70		10230	-181			58		
4345	1985	2	12	9	0	0		10299	-195			59		
4345	1985	2	14	12	50	10		10278	-215			82		
4345	1985	2	14	15	120	10		10280	-185			81		
4345	1985	2	15	3	0	0		10288	-154			85		
4345	1985	2	15	6	0	0		10277	-164			85		
4345	1985	2	15	12	0	0		10260	-174			85		
4345	1985	2	15	15	0	0		10241	-171			85		
4345	1985	2	16	0	50	20		10209	-157			80		
4345	1985	2	16	3	50	110		10202	-151			83		
4345	1985	2	16	9	50	110		10184	-154			85		
4345	1985	2	16	12	40	120		10179	-161			85		
4345	1985	2	16	15	50	120		10161	-168			84		
4345	1985	2	17	3	40	20		10083	-178			83		
4345	1985	2	17	12	0	0		10051	-168			84		
4345	1985	2	18	0	0	0		10041	-181			84		
4345	1985	2	18	3	150	10		10033	-164			85		
4345	1985	2	18	12	40	300		9946	-154			85		
4345	1985	2	18	15	40	300		9913	-137			86		
4345	1985	2	19	3	290	50		9968	-137			87		
4345	1985	2	19	15	130	10		9978	-168			83		
4345	1985	2	20	3	110	10		10008	-161			84		
4345	1985	2	20	15	130	10		10020	-164			81		
4345	1985	2	21	12	0	0		9962	-134			87		
4345	1985	2	21	15	60	110		9980	-134			87		
4345	1985	2	22	3	50	100		10074	-198			84		
4345	1985	2	22	6	70	40		10079	-195			83		
4345	1985	2	22	9	70	10		10092	-198			83		
4345	1985	2	22	12	70	40		10092	-198			83		
4345	1985	2	27	12	280	20		10091	-93			90		
4345	1985	2	28	12	60	130		10063	-14			94		
4345	1985	3	1	0	130	110		10046	27			90		
4345	1985	3	1	3	140	30		10057	41			81		
4345	1985	3	1	12	130	10		10128	3			93		
4345	1985	3	1	15	0	0		10150	-28			89		
4345	1985	3	2	3	60	90		10180	-28			99		
4345	1985	3	11	15	110	20		10124	-164			90		
4345	1985	3	12	3	60	10		10157	-222			88		
4345	1985	3	13	12	0	0		10226	-195			87		
4345	1985	3	17	12	50	130		10071	-226			85		
4345	1985	3	18	12	60	150		10068	-246			84		
4345	1985	3	19	3	0	0		10004	-267			84		
4345	1985	3	19	12	0	0		9993	-188			86		
4345	1985	3	19	15	0	0		9988	-195			87		
4345	1985	3	20	3	0	0		10000	-236			85		
4345	1985	3	20	9	0	0		10010	-181			87		
4345	1985	3	20	15	0	0		10034	-127			91		
4345	1985	3	21	15	50	80		10118	-161			89		
4345	1985	3	22	3	50	130		10125	-168			89		
4345	1985	3	22	9	50	120		10136	-157			89		
4345	1985	3	22	15	50	150		10147	-154			89		
4345	1985	3	23	0	0	0		10185	-161			89		
4345	1985	3	23	9	50	140		10213	-192			87		
4345	1985	3	23	12	70	40		10236	-181			88		
4345	1985	3	24	3	0	0		10251	-195			87		
4345	1985	3	24	12	0	0		10257	-195			88		
4345	1985	3	25	0	60	60		10269	-239			85		
4345	1985	3	25	6	70	50		10264	-250			85		
4345	1985	3	25	12	50	100		10265	-256			85		
4345	1985	3	25	15	50	120		10270	-250			85		
4345	1985	3	26	0	60	100		10316	-267			84		
4345	1985	3	26	3	60	120		10328	-267			83		
4345	1985	3	26	12	0	0		10390	-229			85		
4345	1985	3	26	15	150	10		10396	-232			85		
4345	1985	3	27	3	60	10		10402	-273			83		
4345	1985	3	27	9	0	0		10412	-256			83		
4345	1985	3	27	12	0	0		10427	-236			84		
4345	1985	3	28	0	0	0		10443	-256			83		
4345	1985	3	28	3	320	10		10438	-222			84		
4345	1985	3	28	12	130	10		10414	-226			85		
4345	1985	3	28	15	0	0		10390	-185			86		
4345	1985	3	29	9	0	0		10324	-239			84		
4345	1985	3	30	3	60	10		10267	-270			83		
4345	1985	3	30	12	70	10		10253	-212			84		
4345	1985	3	30	15	0	0		10243	-181			85		
4345	1985	3	31	3	0	0		10230	-226			82		
4345	1985	3	31	12	0	0		10222	-168			83		
4345	1985	4	1	3	90	10		10223	-215			82		
