stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4365	1974	1	24	12	330	50	8		-110					
4365	1974	1	25	12	310	50	0		-120					
4365	1974	1	26	0	90	29	0		-110					
4365	1974	1	29	6	30	69	8		-50					
4365	1974	2	1	6	50	149	9		-40					
4365	1974	2	2	12	60	40	8		-70					
4365	1974	2	4	12	60	279	8		-30					
4365	1974	2	7	6	90	19	0		-90					
4365	1974	2	8	0	100	40	0		-120					
4365	1974	2	9	12	30	40	0		-150					
4365	1974	2	16	18	60	200	9		-80					
4365	1974	2	17	6	170	169	8		-100					
4365	1974	2	18	12	80	260	8		-30					
4365	1974	2	21	12	0	0	8		-80					
4365	1974	2	25	12	100	209	8		-80					
4365	1974	2	26	18	160	29	9		-110					
4365	1974	2	27	12	230	99	0		-200					
4365	1974	3	1	6	0	0	0		-120					
4365	1974	3	9	0	340	19	8		-70					
4365	1974	3	10	12	180	279	9		-10					
4365	1974	3	10	18	90	200	9		0					
4365	1974	3	12	18	90	110	8		-10					
4365	1974	3	13	0	150	69	8		-10					
4365	1974	3	13	6	130	50	8	10198	10			69		
4365	1974	3	13	12	180	29	8	10229	10			69		
4365	1974	3	13	18	150	19	8	10198	10			69		
4365	1974	3	14	0	180	50	6	10185	-30			68		
4365	1974	3	14	6	0	0	8	10149	-30			80		
4365	1974	3	14	12	10	40	0	10133	-30			68		
4365	1974	3	14	18	120	50	6	10102	-20			63		
4365	1974	3	15	0	230	9	0	10103	-110			61		
4365	1974	3	15	6	180	79	8	10048	-120			72		
4365	1974	3	15	18	120	69	8	10172	-70			57		
4365	1974	3	16	0	150	69	8	9999	-90			92		
4365	1974	3	16	6	160	79	8	9971	-110			72		
4365	1974	3	16	12	220	50	8	9967	-100			79		
4365	1974	3	17	18	0	0	9	9906	-60			86		
4365	1974	3	18	0	30	29	8	9933	-80			92		
4365	1974	3	18	6	130	50	8	9968	-60			93		
4365	1974	3	18	12	330	19	9	10017	-70			100		
4365	1974	3	18	18	250	9	9	10051	-60			93		
4365	1974	3	19	0	150	29	8	10109	-60			86		
4365	1974	3	19	6	90	19	8	10124	-60			73		
4365	1974	3	19	12	150	130	9	10127	-40			74		
4365	1974	3	19	18	60	149	9	10071	-40			80		
4365	1974	3	20	6	120	200	9	9975	-40			74		
4365	1974	3	20	12	90	209	9	9920	-30			74		
4365	1974	3	20	18	90	209	9	9900	-20			86		
4365	1974	3	21	0	90	219	8	9958	-20			80		
4365	1974	3	21	18	60	149	8	10020	-20			80		
4365	1974	3	22	0	70	120	8	10027	-10			93		
4365	1974	3	22	6	60	149	8	10027	-10			80		
4365	1974	3	22	12	80	120	8	10007	-10			80		
4365	1974	3	23	0	60	69	8	9985	-10			86		
4365	1974	3	23	12	80	29	9	10001	-30			93		
4365	1974	3	23	18	90	110	9	10022	-30			80		
4365	1974	3	24	0	100	60	9	10052	-30			86		
4365	1974	3	24	6	90	149	9	10012	-30			93		
4365	1974	3	24	18	110	99	9	9944	-40			86		
4365	1974	3	25	0	60	99	8	9993	-40			74		
4365	1974	3	25	12	300	50	8	10085	-40			74		
4365	1974	3	25	18	270	99	0	10109	-100			56		
4365	1974	3	26	0	270	69	0	10144	-120			66		
4365	1974	3	26	12	430	470	0							
4365	1974	3	26	18	110	169	9	10105	-20			93		
4365	1974	3	27	6	90	200	9	10001	-30			74		
4365	1974	3	27	12		0	9							
4365	1974	3	27	18	270	50	0	10071	-80			48		
4365	1974	3	28	0	270	50	0	10134	-100			72		
4365	1974	3	28	6	270	29	0	10146	-120			72		
4365	1974	3	28	12	310	19	0	10273	-100			72		
4365	1974	3	28	18	310	89	0	10174	-110			56		
4365	1974	3	29	0	310	79	0	10168	-120			56		
4365	1974	3	29	6	310	149	0	10101	-140			78		
4365	1974	3	29	12	20	9	0	10051	-70			67		
4365	1974	3	29	18	340	79	0	9982	-80			41		
4365	1974	3	30	0	10	50	8	9920	-90			85		
4365	1974	3	30	6	30	9	8	9860	-100			79		
4365	1974	3	30	12	90	270	9	9817	-50			79		
4365	1974	3	30	18	100	200	8	9889	-60			62		
4365	1974	3	31	0	80	99	8	9953	-100			72		
4365	1974	3	31	6	100	149	8	9978	-90			73		
4365	1974	3	31	12	0	0	2	10006	-80			73		
4365	1974	4	1	18	120	19	9	9999	-80			92		
4365	1974	4	2	0	60	149	9	10035	-60			79		
4365	1974	4	2	6	50	50	6	10045	-80			73		
4365	1974	4	2	12	0	0	8	10050	-90			73		
4365	1974	4	2	18	60	120	6	10011	-70			48		
4365	1974	4	3	0	90	99	8	10020	-100			72		
4365	1974	4	3	12	30	29	5	10015	-80			73		
4365	1974	4	3	18	60	99	8	10015	-70			67		
4365	1974	4	4	0	360	29	6	10078	-70			73		
4365	1974	4	4	18	310	79	0							
4365	1974	4	5	0	310	89	0	10091	-60			62		
4365	1974	4	5	6	270	69	0	10097	-60			68		
4365	1974	4	5	12	400	99	7	10526	0					
4365	1974	4	5	18	0	0	8	10112	-60			86		
4365	1974	4	6	0	0	0	9	10113	-80			92		
4365	1974	4	6	6	0	0	8	10091	-90			79		
4365	1974	4	6	12	290	9	8	10099	-80			73		
4365	1974	4	7	0	330	149	0	10150	-130			47		
4365	1974	4	7	6	90	50	0	10246	-90			73		
4365	1974	4	7	12	210	89	0	10319	-130			66		
4365	1974	4	7	18	0	0	0	10322	-120			61		
4365	1974	4	8	6	90	69	0	10344	-120			72		
4365	1974	4	8	18	0	0	2	10288	-110			56		
4365	1974	4	9	0	0	0	0	10009	0			22		
4365	1974	4	9	6	50	99	0	10229	-110			72		
4365	1974	4	9	18	90	50	8	10172	-80			79		
4365	1974	4	10	0	90	99	8	10137	-80			79		
4365	1974	4	10	12	80	200	9	10091	-60			86		
4365	1974	4	10	18	90	79	9	10092	-80			85		
4365	1974	4	11	0	80	50	8	10128	-70			93		
4365	1974	4	11	6	90	99	2	10135	-70			67		
4365	1974	4	11	12	80	50	5	10169	-70			73		
4365	1974	4	11	18	0	0	2	10168	-40			58		
4365	1974	4	12	0	0	0	0	10180	-60			68		
4365	1974	4	12	6	0	0	0	10145	-90			79		
4365	1974	4	12	12	0	0	0	10132	-70			73		
4365	1974	4	12	18	60	29	3	10083	-40			58		
4365	1974	4	13	0	30	19	8	10065	-60			73		
4365	1974	4	13	6	10	50	8	10020	-60			73		
4365	1974	4	13	12	10	29	8	10013	-50			73		
4365	1974	4	13	18	60	69	8	10014	-60			86		
4365	1974	4	14	0	90	120	8	10026	-60			93		
4365	1974	4	14	6	90	99	9	10054	-80			92		
4365	1974	4	14	12	120	50	8	10082	-50			73		
4365	1974	4	14	18	0	0	8	10093	-30			68		
4365	1974	4	15	0	0	0	8	10097	-40			74		
4365	1974	4	15	6	50	19	9	10059	-60			100		
4365	1974	4	15	12	60	219	9	10029	-40			74		
4365	1974	4	16	0	120	149	9	10009	-20			26		
4365	1974	4	16	12	130	60	9	10136	-30			93		
4365	1974	4	16	18	100	69	8	10150	-20			86		
4365	1974	4	17	0	90	69	9	10163	-30			86		
4365	1974	4	17	6	0	0	8	10147	-30			74		
4365	1974	4	17	12	80	50	9	10133	-30			36		
4365	1974	4	17	18	50	99	8	10073	-20			100		
4365	1974	4	18	0	90	149	8	10091	-10			93		
4365	1974	4	18	6	90	120	8	10087	-10			80		
4365	1974	4	18	12	90	99	9	10098	-10			93		
4365	1974	4	18	18	90	120	8	10061	-10			100		
