stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4416	1997	11	4	12	 	16	 	 	-286	 	 	 	 	 
4416	1997	11	4	15	 	57	 	 	-235	 	 	 	 	 
4416	1997	11	4	18	 	93	 	 	-244	 	 	 	 	 
4416	1997	11	4	21	 	103	 	 	-108	 	 	 	 	 
4416	1997	11	5	0	 	109	 	 	-242	 	 	 	 	 
4416	1997	11	5	3	 	93	 	 	-220	 	 	 	 	 
4416	1997	11	5	6	 	98	 	 	-248	 	 	 	 	 
4416	1997	11	5	9	 	73	 	 	-293	 	 	 	 	 
4416	1997	11	5	12	 	67	 	 	-277	 	 	 	 	 
4416	1997	11	5	15	 	78	 	 	-329	 	 	 	 	 
4416	1997	11	5	18	 	37	 	 	-396	 	 	 	 	 
4416	1997	11	5	21	 	21	 	 	-362	 	 	 	 	 
4416	1997	11	6	0	 	11	 	 	-411	 	 	 	 	 
4416	1997	11	6	3	 	11	 	 	-446	 	 	 	 	 
4416	1997	11	6	6	 	11	 	 	-456	 	 	 	 	 
4416	1997	11	6	9	 	11	 	 	-455	 	 	 	 	 
4416	1997	11	6	12	 	11	 	 	-432	 	 	 	 	 
4416	1997	11	6	15	 	16	 	 	-390	 	 	 	 	 
4416	1997	11	6	18	 	16	 	 	-401	 	 	 	 	 
4416	1997	11	6	21	 	21	 	 	-421	 	 	 	 	 
4416	1997	11	7	0	 	26	 	 	-476	 	 	 	 	 
4416	1997	11	7	3	 	31	 	 	-402	 	 	 	 	 
4416	1997	11	7	6	 	57	 	 	-367	 	 	 	 	 
4416	1997	11	7	9	 	67	 	 	-365	 	 	 	 	 
4416	1997	11	7	12	 	57	 	 	-375	 	 	 	 	 
4416	1997	11	7	15	 	62	 	 	-365	 	 	 	 	 
4416	1997	11	7	18	 	62	 	 	-372	 	 	 	 	 
4416	1997	11	7	21	 	62	 	 	-306	 	 	 	 	 
4416	1997	11	8	0	 	57	 	 	-325	 	 	 	 	 
4416	1997	11	8	3	 	62	 	 	-343	 	 	 	 	 
4416	1997	11	8	6	 	73	 	 	-331	 	 	 	 	 
4416	1997	11	8	9	 	67	 	 	-325	 	 	 	 	 
4416	1997	11	8	12	 	67	 	 	-337	 	 	 	 	 
4416	1997	11	8	15	 	62	 	 	-367	 	 	 	 	 
4416	1997	11	8	18	 	73	 	 	-350	 	 	 	 	 
4416	1997	11	8	21	 	73	 	 	-341	 	 	 	 	 
4416	1997	11	9	0	 	73	 	 	-369	 	 	 	 	 
4416	1997	11	9	3	 	67	 	 	-402	 	 	 	 	 
4416	1997	11	9	6	 	57	 	 	-390	 	 	 	 	 
