stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4385	1962	5	1	10	330	108	8		25			97		
4385	1962	5	1	12	330	129	8		26	33	-45	97	330	
4385	1962	5	1	18	330	51	8		21			97		
4385	1962	5	2	10	0	0	7		49			92		
4385	1962	5	2	12	0	0	3		65	82	13	80	192	
4385	1962	5	2	18	0	0	2		84			67		
4385	1962	5	3	10	0	0	4		30			97		
4385	1962	5	3	12	0	0	4		38	113	-14	87	0	
4385	1962	5	3	18	340	51	6		21			67		
4385	1962	5	4	10	0	0	8		22			76		
4385	1962	5	4	12	0	0	7		30	73	4	73	-1	
4385	1962	5	4	18	0	0	8		16			77		
4385	1962	5	5	10	0	0	1		12			85		
4385	1962	5	5	12	0	0	1		14	50	-5	84	0	
4385	1962	5	5	18	0	0	0		46			60		
4385	1962	5	7	10	0	0	3		21			60		
4385	1962	5	7	12	270	15	3		24	55	-32	64	0	
4385	1962	5	7	18	0	0	8		38			78		
4385	1962	5	8	10	0	0	1		26			49		
4385	1962	5	8	12	340	10	0		27	44	-19	50	0	
4385	1962	5	8	18	340	21	0		18			62		
4385	1962	5	9	10	20	21	6		35			46		
4385	1962	5	9	12	20	98	8		36	44	-15	48	0	
4385	1962	5	9	18	340	31	8		31			43		
4385	1962	5	10	10	340	36	4		8			79		
4385	1962	5	10	12	340	93	1		11	42	10	67	0	
4385	1962	5	10	18	340	87	4		21			62		
4385	1962	5	11	10	340	165	9		-5					
4385	1962	5	11	12	340	165	9		-6	24	-7		152	
4385	1962	5	11	18	0	0	8		25					
4385	1962	5	12	10	340	41	8		-7					
4385	1962	5	12	12	340	36	8		6	27	-15	97	70	
4385	1962	5	12	18	0	0	7		19			86		
4385	1962	5	14	10	240	21	1		62			32		
4385	1962	5	14	12	240	15	1		72	102	-7	31	0	
4385	1962	5	14	18	0	0	1		84			32		
4385	1962	5	15	10	0	0	0		34			57		
4385	1962	5	15	12	0	0	0		44	98	17	57	0	
4385	1962	5	15	18	240	10	1		29			73		
4385	1962	5	16	10	330	51	8		21			63		
4385	1962	5	16	12	330	41	8		24	95	-14	65	0	
4385	1962	5	16	18	0	0	8		26			89		
4385	1962	5	17	10	330	10	7		9			76		
4385	1962	5	17	12	330	10	7		7	49	2	97	0	
4385	1962	5	17	18	0	0	8		18			82		
4385	1962	5	19	10	340	51	8		4			94		
4385	1962	5	19	12	340	26	8		1	23	0	97	20	
4385	1962	5	19	18	340	31	8		1			97		
4385	1962	5	21	10	340	144	8		-20					
4385	1962	5	21	12	340	170	8		-25	25	-25		209	
4385	1962	5	21	18	340	57	8		-20					
4385	1962	5	22	10	340	93	9		-17					
4385	1962	5	22	12	340	62	8		-5				156	
4385	1962	5	22	18	0	0	8		16					
4385	1962	5	23	10	340	21	8		26			86		
4385	1962	5	23	12	340	10	8		13	29	-17	97	2	
4385	1962	5	23	18	340	57	8		14			97		
4385	1962	5	24	10	340	144	8		4			97		
4385	1962	5	24	12	340	154	8		8	20		97	112	
4385	1962	5	24	18	340	165	8		7			97		
4385	1962	5	25	10	0	0	8		17			92		
4385	1962	5	25	12	340	10	8		14	25	5	97	250	
4385	1962	5	25	18	0	0	8		10			97		
4385	1962	5	26	10	340	10	8		12			97		
4385	1962	5	26	12	0	0	8		28	31	1	93	170	
4385	1962	5	26	18	260	41	2		35			84		
4385	1962	5	28	10	0	0	7		23			92		
4385	1962	5	28	12	350	21	8		27	78	-5	82	-1	
4385	1962	5	28	18	350	15	8		25			77		
4385	1962	5	29	10	0	0	8		30			74		
4385	1962	5	29	12	0	0	8		27	49	15	97	5	
4385	1962	5	29	18	350	21	8		32			97		
4385	1962	5	30	10	20	118	8		0			97		
4385	1962	5	30	12	20	103	8		11	33		97	576	
4385	1962	5	30	18	20	98	8		12			97		
4385	1962	6	1	10	20	57	8		18			97		
4385	1962	6	1	12	20	67	8		27	28	15	97	210	
4385	1962	6	1	18	20	123	8		34			97		
4385	1962	6	2	10	20	72	8		50			97		
4385	1962	6	2	12	20	77	8		50	54		97	516	
4385	1962	6	2	18	20	93	9		48			97		
4385	1962	6	4	10	20	72	8		28			88		
4385	1962	6	4	12	20	67	8		25	30	-3	94	100	
4385	1962	6	4	18	20	87	8		40			86		
4385	1962	6	5	10	0	0	2		68			74		
4385	1962	6	5	12	0	0	3		72	75	12	74	4	
4385	1962	6	5	18	0	0	4		46			86		
