stat_no	year	month	day	hour	precip	periode
34234	2004	12	1	12	27	24
34234	2004	12	2	12	23	24
34234	2004	12	3	12	26	24
34234	2004	12	4	12	0	24
34234	2004	12	5	12	0	24
34234	2004	12	6	12	0	24
34234	2004	12	7	12	8	24
34234	2004	12	8	12	15	24
34234	2004	12	9	12	47	24
34234	2004	12	10	12	0	24
34234	2004	12	11	12	0	24
34234	2004	12	12	12	0	24
34234	2004	12	13	12	0	24
34234	2004	12	14	12	40	24
34234	2004	12	15	12	2	24
34234	2004	12	16	12	75	24
34234	2004	12	17	12	23	24
34234	2004	12	19	12	88	48
34234	2004	12	20	12	25	24
34234	2004	12	21	12	20	24
34234	2004	12	22	12	0	24
34234	2004	12	23	12	0	24
34234	2004	12	27	12	236	96
34234	2004	12	28	12	45	24
34234	2004	12	29	12	-1	24
34234	2004	12	30	12	0	24
34234	2004	12	31	12	0	24
34234	2005	1	1	12	0	24
34234	2005	1	2	12	0	24
34234	2005	1	3	12	-1	24
34234	2005	1	4	12	28	24
34234	2005	1	5	12	30	24
34234	2005	1	6	12	0	24
34234	2005	1	7	12	5	24
34234	2005	1	8	12	15	24
34234	2005	1	10	12	8	48
34234	2005	1	11	12	39	24
34234	2005	1	12	12	-1	24
34234	2005	1	13	12	0	24
34234	2005	1	14	12	10	24
34234	2005	1	15	12	4	24
34234	2005	1	17	12	34	48
34234	2005	1	18	12	25	24
34234	2005	1	19	12	0	24
34234	2005	1	20	12	19	24
34234	2005	1	21	12	54	24
34234	2005	1	22	12	28	24
34234	2005	1	24	12	104	48
34234	2005	1	25	12	278	24
34234	2005	1	26	12	85	24
34234	2005	1	27	12	-1	24
34234	2005	1	28	12	42	24
34234	2005	1	29	12	30	24
34234	2005	1	31	12	13	48
34234	2005	2	1	12	3	24
34234	2005	2	2	12	8	24
34234	2005	2	3	12	24	24
34234	2005	2	4	12	3	24
34234	2005	2	5	12	37	24
34234	2005	2	7	12	68	48
34234	2005	2	8	12	2	24
34234	2005	2	9	12	3	24
34234	2005	2	10	12	205	24
34234	2005	2	11	12	34	24
34234	2005	2	12	12	14	24
34234	2005	2	14	12	247	48
34234	2005	2	15	12	17	24
34234	2005	2	16	12	4	24
34234	2005	2	18	12	15	48
34234	2005	2	19	12	237	24
34234	2005	2	20	12	14	24
34234	2005	2	21	12	4	24
34234	2005	2	22	12	10	24
34234	2005	2	23	12	7	24
34234	2005	2	24	12	0	24
34234	2005	2	25	12	0	24
34234	2005	2	26	12	0	24
34234	2005	2	27	12	0	24
34234	2005	2	28	12	0	24
34234	2005	3	1	12	7	24
34234	2005	3	2	12	46	24
34234	2005	3	3	12	7	24
34234	2005	3	4	12	297	24
34234	2005	3	5	12	3	24
34234	2005	3	7	12	0	48
34234	2005	3	8	12	10	24
34234	2005	3	9	12	-1	24
34234	2005	3	10	12	214	24
34234	2005	3	11	12	0	24
34234	2005	3	12	12	0	24
34234	2005	3	14	12	0	48
34234	2005	3	15	12	0	24
34234	2005	3	16	12	0	24
34234	2005	3	17	12	0	24
34234	2005	3	18	12	0	24
34234	2005	3	19	12	0	24
34234	2005	3	21	12	-1	48
34234	2005	3	22	12	5	24
34234	2005	3	23	12	0	24
34234	2005	3	26	12	0	72
34234	2005	3	28	12	47	48
34234	2005	3	29	12	15	24
34234	2005	3	30	12	22	24
34234	2005	3	31	12	2	24
34234	2005	4	1	12	0	24
34234	2005	4	2	12	0	24
34234	2005	4	4	12	14	48
34234	2005	4	5	12	0	24
34234	2005	4	6	12	0	24
34234	2005	4	7	12	76	24
34234	2005	4	8	12	13	24
34234	2005	4	9	12	16	24
34234	2005	4	11	12	-1	48
