stat_no	year	month	day	hour	precip	periode
34250	1999	2	2	21	0	24
34250	1999	2	3	21	-1	24
34250	1999	2	4	21	101	24
34250	1999	2	5	21	2	24
34250	1999	2	6	21	107	24
34250	1999	2	7	21	39	24
34250	1999	2	8	21	262	24
34250	1999	2	9	21	202	24
34250	1999	2	10	21	141	24
34250	1999	2	11	21	42	24
34250	1999	2	12	21	2	24
34250	1999	2	13	21	36	24
34250	1999	2	14	21	100	24
34250	1999	2	15	21	28	24
34250	1999	2	16	21	101	24
34250	1999	2	17	21	8	24
34250	1999	2	18	21	157	24
34250	1999	2	19	21	20	24
34250	1999	2	20	21	8	24
34250	1999	2	21	21	0	24
34250	1999	2	22	21	0	24
34250	1999	2	23	21	0	24
34250	1999	2	24	21	0	24
34250	1999	2	25	21	4	24
34250	1999	2	26	21	19	24
34250	1999	2	27	21	2	24
34250	1999	2	28	21	-1	24
34250	1999	3	1	21	-1	24
34250	1999	3	2	21	0	24
34250	1999	3	3	21	-1	24
34250	1999	3	4	21	276	24
34250	1999	3	5	21	51	24
34250	1999	3	6	21	2	24
34250	1999	3	7	21	1	24
34250	1999	3	8	21	30	24
34250	1999	3	9	21	6	24
34250	1999	3	10	21	34	24
34250	1999	3	11	21	-1	24
34250	1999	3	12	21	-1	24
34250	1999	3	13	21	-1	24
34250	1999	3	14	21	-1	24
34250	1999	3	15	21	-1	24
34250	1999	3	16	21	-1	24
34250	1999	3	17	21	0	24
34250	1999	3	18	21	-1	24
34250	1999	3	19	21	-1	24
34250	1999	3	20	21	0	24
34250	1999	3	21	21	0	24
34250	1999	3	22	21	-1	24
34250	1999	3	23	21	-1	24
34250	1999	3	24	21	0	24
34250	1999	3	25	21	13	24
34250	1999	3	26	21	26	24
34250	1999	3	27	21	22	24
34250	1999	3	28	21	7	24
34250	1999	3	29	21	8	24
34250	1999	3	30	21	15	24
34250	1999	3	31	21	-1	24
34250	1999	4	1	21	0	24
34250	1999	4	2	21	0	24
34250	1999	4	3	21	0	24
34250	1999	4	4	21	0	24
34250	1999	4	5	21	0	24
34250	1999	4	6	21	-1	24
34250	1999	4	7	21	0	24
34250	1999	4	8	21	-1	24
34250	1999	4	9	21	0	24
34250	1999	4	10	21	0	24
34250	1999	4	11	21	0	24
34250	1999	4	12	21	0	24
34250	1999	4	13	21	19	24
34250	1999	4	14	21	38	24
34250	1999	4	15	21	17	24
34250	1999	4	16	21	0	24
34250	1999	4	17	21	0	24
34250	1999	4	18	21	0	24
34250	1999	4	19	21	0	24
34250	1999	4	20	21	0	24
34250	1999	4	21	21	0	24
34250	1999	4	22	21	0	24
34250	1999	4	23	21	0	24
34250	1999	4	24	21	0	24
34250	1999	4	25	21	0	24
34250	1999	4	26	21	0	24
34250	1999	4	27	21	4	24
34250	1999	4	28	21	1	24
34250	1999	4	29	21	10	24
34250	1999	4	30	21	38	24
34250	1999	5	1	21	265	24
34250	1999	5	2	21	89	24
34250	1999	5	3	21	0	24
34250	1999	5	4	21	0	24
34250	1999	5	5	21	0	24
34250	1999	5	6	21	0	24
34250	1999	5	7	21	0	24
34250	1999	5	8	21	33	24
34250	1999	5	9	21	35	24
34250	1999	5	10	21	120	24
34250	1999	5	11	21	196	24
34250	1999	5	12	21	245	24
34250	1999	5	13	21	0	24
34250	1999	5	17	21	56	96
34250	1999	5	18	21	13	24
34250	1999	5	19	21	16	24
34250	1999	5	20	21	0	24
34250	1999	5	21	21	0	24
34250	1999	5	22	21	0	24
34250	1999	5	23	21	4	24
34250	1999	5	24	21	0	24
34250	1999	5	25	21	0	24
34250	1999	5	26	21	0	24
34250	1999	5	27	21	65	24
34250	1999	5	28	21	76	24
34250	1999	5	29	21	24	24
34250	1999	5	30	21	3	24
34250	1999	5	31	21	0	24
34250	1999	6	1	21	0	24
34250	1999	6	2	21	18	24
34250	1999	6	3	21	0	24
