stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4261	1961	1	1	0	80	77	8	9884	12					
4261	1961	1	1	6	80	72	8	9837	24	45	12		0	40
4261	1961	1	1	9	90	103	8	9835	44					
4261	1961	1	1	12	40	31	8	9869	35					
4261	1961	1	1	15	90	36	7	9889	40					
4261	1961	1	1	18	300	51	8	9909	42	54	24		0	40
4261	1961	1	1	21	0	0	8	9940	25					
4261	1961	1	2	0	0	0	6	9975	20					
4261	1961	1	2	3	0	0	7	10015	4					
4261	1961	1	2	6	0	0	7	10053	7	42	-10		0	40
4261	1961	1	2	9	360	36	7	10102	7					
4261	1961	1	2	12	330	31	8	10140	-12					
4261	1961	1	2	15	330	77	8	10165	-16					
4261	1961	1	2	18	290	77	5	10176	-15	9	-19		6	40
4261	1961	1	2	21	330	77	3	10187	-20					
4261	1961	1	3	0	350	26	2	10187	-38					
4261	1961	1	3	3	0	0	3	10182	-62					
4261	1961	1	3	6	0	0	5	10155	-52		-81		0	40
4261	1961	1	3	9	0	0	8	10124	-54					
4261	1961	1	3	12	0	0	8	10109	-48					
4261	1961	1	3	15	120	21	8	10074	-42					
4261	1961	1	3	18	110	31	8	10046	-46	-40	-54		8	42
4261	1961	1	3	21	0	0	9	10030	-34					
4261	1961	1	4	0	0	0	8	10005	-32					
4261	1961	1	4	3	0	0	6	9988	-12					
4261	1961	1	4	6	0	0	6	9982	-4	10	-48		16	42
4261	1961	1	4	9	0	0	3	9996	2					
4261	1961	1	4	12	90	15	7	9999	6					
4261	1961	1	4	15	0	0	7	10016	6					
4261	1961	1	4	18	0	0	7	10046	4	16	-5		0	40
4261	1961	1	4	21	0	0	7	10076	6					
4261	1961	1	5	0	0	0	8	10101	-11					
4261	1961	1	5	3	10	31	7	10111	-11					
4261	1961	1	5	6	0	0	8	10111	-15	8	-22		0	40
4261	1961	1	5	9	0	0	8	10105	-16					
4261	1961	1	5	12	0	0	8	10123	-22					
4261	1961	1	5	15	140	31	4	10115	-8					
