stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4252	1961	1	2	18	310	87	7	10189	-40	-20	-100	85	-1	15
4252	1961	1	3	18	20	31	7	10067	-70	-40	-80	67	0	15
4252	1961	1	4	18	70	21	8	10045	-60	-30	-80	97	0	15
4252	1961	1	5	18	10	57	6	10111	-50	-20	-65	73	-1	15
4252	1961	1	6	18	0	0	7	9965	-10	-10	-60	80	0	15
4252	1961	1	7	18	50	26	5	9979	-30	30	-44	80	0	15
4252	1961	1	8	18	340	57	8	10041	-20	0	-55	86	0	15
4252	1961	1	9	18	330	77	3	10070	-40	-20	-49	92	0	15
4252	1961	1	10	18	330	154	8	9897	-60	-40	-65	92	0	15
4252	1961	1	11	18	300	180	9	9856	-130	-60	-140	92	4	15
4252	1961	1	12	18	40	31	8	9998	-160	-130	-160	78	30	15
4252	1961	1	13	18	40	31	2	10036	-180	-150	-184	70	0	15
4252	1961	1	14	18	300	103	9	10021	-130	-110	-194	97	30	15
4252	1961	1	15	18	120	82	8	10021	-130	-120	-150	92	10	15
4252	1961	1	16	18	220	103	8	9951	-110	-40	-160	79	20	15
4252	1961	1	17	18	330	154	9	9894	-90	-70	-123	97	20	25
4252	1961	1	18	18	320	87	8	9977	-120	-90	-130	78	70	25
4252	1961	1	19	18	330	206	9	9769	-120	-100	-150	92	20	25
4252	1961	1	20	18	340	93	7	9953	-110	-100	-158	67	0	25
4252	1961	1	21	18	20	46	4	10020	-130	-110	-142	66	0	25
4252	1961	1	22	18	0	0	8	9879	-20	-2	-145	74	0	25
4252	1961	1	23	18	40	154	1	9771	40	50	-25	56	0	25
4252	1961	1	24	18	40	31	7	9871	10	60	-3	51	0	25
4252	1961	1	25	18	30	51	8	9765	60	70	-29	43	0	25
4252	1961	1	26	18	60	87	8	9669	60	80	40	45	0	25
4252	1961	1	27	18	340	62	9	9807	-20	60	-50	97	0	25
4252	1961	1	28	18	0	0	1	9813	-50	-2	-60	63	0	25
4252	1961	1	29	18	20	36	4	9928	-10	10	-66	46	0	25
4252	1961	1	31	18	80	36	2	9994	-70	40	-102	73	0	25
4252	1961	2	1	18	340	87	0	10021	-40	-40	-79	74	0	25
4252	1961	2	2	18	340	103	4	10043	-80	-40	-84	73	0	25
4252	1961	2	3	18	340	118	1	10038	-90	-80	-110	73	0	25
4252	1961	2	4	18	330	103	0	10115	-80	-80	-100	79	0	25
4252	1961	2	5	18	60	10	8	10057	-80	-80	-110	73	0	25
4252	1961	2	6	18	340	103	8	9997	-80	-60	-86	85	30	50
4252	1961	2	7	18	360	72	6	9978	-120	-80	-128	72	6	50
4252	1961	2	8	18	360	62	3	9904	-140	-120	-174	72	0	50
4252	1961	2	9	18	100	36	4	9908	-180	-140	-202	84	0	50
4252	1961	2	10	18	60	51	8	9957	-120	-120	-215	72	0	50
4252	1961	2	11	18	350	41	1	9997	-100	-100	-147	62	0	50
4252	1961	2	12	18	340	82	2	9943	-120	-100	-147	78	0	50
4252	1961	2	13	18	150	31	8	9972	-80	-70	-120	85	2	50
4252	1961	2	14	18	260	41	8	10018	-70	-70	-90	92	30	50
4252	1961	2	15	18	150	118	8	9884	-30	-30	-90	93	3	50
4252	1961	2	16	18	330	67	8	10043	-120	-30	-126	66	6	50
4252	1961	2	17	18	60	57	3	9970	-130	-120	-185	66	0	50
4252	1961	2	18	18	60	26	7	9901	-140	-130	-189	55	0	50
4252	1961	2	19	18	280	31	8	10017	-170	-140	-174	65	-1	50
4252	1961	2	20	18	110	57	9	10050	-170	-160	-180	92	30	50
4252	1961	2	21	18	30	62	1	9960	-180	-170	-182	71	10	50
4252	1961	2	22	18	60	21	0	9891	-170	-160	-202	59	0	50
4252	1961	2	23	18	50	51	6	9899	-100	-100	-215	56	0	50
4252	1961	2	24	18	150	62	8	9913	-100	-80	-150	62	30	50
4252	1961	2	25	18	340	103	8	9890	-70	-70	-100	92	40	50
4252	1961	2	26	18	0	0	9	9898	-10	-10	-80	98	0	50
