stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4286	1971	1	1	12	90	72	8		40			89		
4286	1971	1	1	18	90	72	8		52			80		
4286	1971	1	2	12	0	0	8		12			87		
4286	1971	1	2	18	0	0	8		18			93		
4286	1971	1	3	12	50	10	8		12			54		
4286	1971	1	3	18	50	26	4		2			53		
4286	1971	1	4	12	360	10	8		2			53		
4286	1971	1	4	18	0	0	8		0			57		
4286	1971	1	5	12	0	0	0		-36			78		
4286	1971	1	5	18	320	10	0		-34			74		
4286	1971	1	6	12	140	10	8		-50			78		
4286	1971	1	6	18	320	10	0		-60			72		
4286	1971	1	7	12	0	0	0		-70			64		
4286	1971	1	7	18	270	10	7		-40			64		
4286	1971	1	8	12	0	0	1		-38			94		
4286	1971	1	8	18	0	0	1		-24			94		
4286	1971	1	9	12	330	103	8		-32			83		
4286	1971	1	9	18	340	62	2		-38			82		
4286	1971	1	10	12	340	51	2		-42			79		
4286	1971	1	10	18	330	93	1		-42			74		
4286	1971	1	11	12	340	10	2		-34			78		
4286	1971	1	11	18	340	10	4		-68			75		
4286	1971	1	12	12	340	154	1		-66			73		
4286	1971	1	12	18	340	72	1		-58			64		
4286	1971	1	13	12	140	46	6		-28			84		
4286	1971	1	13	18	140	123	4		0			63		
4286	1971	1	14	12	180	26	9		-20			100		
4286	1971	1	14	18	180	93	9		-31			100		
4286	1971	1	15	12	140	93	6		16			62		
4286	1971	1	15	18	140	67	3		22			54		
4286	1971	1	16	12	90	46	4		23			54		
4286	1971	1	16	18	90	26	4		21			52		
4286	1971	1	17	12	0	0	4		10			52		
4286	1971	1	17	18	90	123	4		8			53		
4286	1971	1	18	12	50	93	2		-6			52		
4286	1971	1	18	18	50	26	2		-17			50		
4286	1971	1	19	12	0	0	8		-34			71		
4286	1971	1	19	18	0	0	9		-40			100		
4286	1971	1	20	12	320	93	3		-64			80		
4286	1971	1	20	18	270	93	1		-64			76		
4286	1971	1	21	12	330	15	2		-78			68		
4286	1971	1	21	18	330	5	2		-68			66		
4286	1971	1	22	12	340	10	1		-106			74		
4286	1971	1	22	18	340	5	1		-86			69		
4286	1971	1	23	12	180	5	6		-70			76		
4286	1971	1	23	18	180	5	1		-82			77		
4286	1971	1	24	12	990	5	1		-100			71		
4286	1971	1	24	18	330	15	7		-36			68		
4286	1971	1	25	12	0	0	9		-20			100		
4286	1971	1	25	18	360	10	9		-14			100		
4286	1971	1	26	12	360	10	9		-22			100		
4286	1971	1	26	18	360	10	9		-30			100		
4286	1971	1	27	12	360	93	8		-28			86		
4286	1971	1	27	18	320	67	3		-25			72		
4286	1971	1	28	12	0	0	2		-63			84		
4286	1971	1	28	18	130	26	8		-18			65		
4286	1971	1	29	12	110	226	9		-18			96		
4286	1971	1	29	18	110	154	8		2			97		
4286	1971	1	30	12	320	93	8		-34			100		
4286	1971	1	30	18	320	93	8		-54			100		
4286	1971	1	31	12	140	93	9		-51			100		
4286	1971	1	31	18	140	93	9		-48			100		
4286	1971	2	1	12	270	46	8		-34			100		
4286	1971	2	1	18	0	0	7		-36			100		
4286	1971	2	2	12	140	165	8		48			100		
4286	1971	2	2	18	190	31	8		-20			98		
4286	1971	2	3	12	990	5	5		-70			98		
4286	1971	2	3	18	990	5	8		-76			98		
4286	1971	2	4	12	990	5	1		-100			98		
4286	1971	2	4	18	340	21	0		-70			98		
4286	1971	2	5	12	990	5	7		-80					
4286	1971	2	5	18	990	5	8		-72			55		
4286	1971	2	6	12	0	0	9		-56			88		
4286	1971	2	6	18	0	0	9		-48			87		
4286	1971	2	7	12	0	0	0		-112			78		
4286	1971	2	7	18	0	0	6		-82			77		
4286	1971	2	8	12	0	0	1		-100			82		
4286	1971	2	8	18	330	10	0		-86			78		
4286	1971	2	9	12	0	0	0		-88			72		
4286	1971	2	9	18	0	0	0		-74			65		
4286	1971	2	10	12	140	154	9		-22			87		
4286	1971	2	10	18	90	154	9		2			88		
4286	1971	2	11	12	270	26	9		-31			100		
4286	1971	2	11	18	140	26	8		-34			100		
4286	1971	2	12	12	320	26	6		-60			90		
4286	1971	2	12	18	320	268	8		-62			92		
4286	1971	2	13	12	330	10	2		-101			95		
4286	1971	2	13	18	320	226	9		-100			91		
4286	1971	2	14	12	350	123	1		-102			92		
4286	1971	2	14	18	330	93	1		-96			83		
4286	1971	2	15	12	330	5	1		-108			87		
4286	1971	2	15	18	990	5	5		-60			88		
4286	1971	2	16	12	30	103	8		-14			63		
4286	1971	2	16	18	80	123	8		4			65		
4286	1971	2	17	12	70	51	8		20			53		
4286	1971	2	17	18	990	5	7		16			55		
4286	1971	2	18	12	0	0	0		-38			69		
4286	1971	2	18	18	0	0	0		2			61		
4286	1971	2	19	12	0	0	0		-49			60		
4286	1971	2	19	18	0	0	1		-10			60		
4286	1971	2	20	12	320	10	4		-28			98		
4286	1971	2	20	18	0	0	4		-2			91		
4286	1971	2	21	12	320	10	2		-60			82		
4286	1971	2	21	18	320	10	1		-60			88		
4286	1971	2	22	12	0	0	4		-84			72		
4286	1971	2	22	18	320	67	2		-40			65		
4286	1971	2	23	12	270	10	1		-60			62		
4286	1971	2	23	18	0	0	7		-54			67		
4286	1971	2	24	12	320	67	8		-52			78		
4286	1971	2	24	18	360	26	8		-46			94		
4286	1971	2	25	12	320	226	9		-98			95		
4286	1971	2	25	18	320	190	9		-71			95		
4286	1971	2	26	12	350	103	1		-74			68		
4286	1971	2	26	18	350	46	5		-70			62		
4286	1971	2	27	12	350	123	1		-66			59		
4286	1971	2	27	18	340	103	1		-74			58		
4286	1971	2	28	12	340	185	8		-92			73		
4286	1971	2	28	18	340	103	2		-88			69		
4286	1971	3	1	12	100	123	8		-10			82		
4286	1971	3	1	18	110	144	8		16			87		
4286	1971	3	2	12	0	0	9		-12			98		
4286	1971	3	2	18	0	0	9		-4			96		
