stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4274	1964	4	8	15	90	10	4		-40			60		
4274	1964	4	9	12	360	46	2		-40			92		
4274	1964	4	9	15	30	67	1		-52			84		
4274	1964	4	10	12	140	10	3		-54			75		
4274	1964	4	10	15	140	46	6		-21			57		
4274	1964	4	11	12	30	26	8		20			66		
4274	1964	4	11	15	30	26	6		55			66		
4274	1964	4	12	12	10	190	8		-81			95		
4274	1964	4	12	15	10	190	2		-80			90		
4274	1964	4	13	12	140	26	8		-49			58		
4274	1964	4	13	15	20	98	7		-31			68		
4274	1964	4	14	12	20	309	1		-92			55		
4274	1964	4	14	15	20	226	2		-80			51		
4274	1964	4	15	12	140	10	8		-50			74		
4274	1964	4	15	15	220	67	8		-42			80		
4274	1964	4	16	12	140	67	8		-15			95		
4274	1964	4	16	15	140	67	8		-8			97		
4274	1964	4	17	12	140	98	8		-10			97		
4274	1964	4	17	15	220	26	8		-8			97		
4274	1964	4	18	12	90	10	1		-44			97		
4274	1964	4	18	15	90	10	1		-24			97		
4274	1964	4	19	12	200	98	8		30			92		
4274	1964	4	19	15	200	98	8		21			95		
4274	1964	4	20	12	140	67	8		48			60		
4274	1964	4	20	15	220	67	8		50			62		
4274	1964	4	21	12	0	0	1		26			74		
4274	1964	4	21	15	0	0	3		42			72		
4274	1964	4	22	12	0	0	3		20			76		
4274	1964	4	22	15	0	0	3		32			66		
4274	1964	4	23	12	0	0	3		4			83		
4274	1964	4	23	15	40	10	1		62			59		
4274	1964	4	24	12	0	0	0		35			53		
4274	1964	4	24	15	270	10	1		40			52		
4274	1964	4	25	12	0	0	9		-30			96		
4274	1964	4	25	15	0	0	9		-25			93		
4274	1964	4	26	12	20	10	8		-26			96		
4274	1964	4	26	15	20	10	8		-26			96		
4274	1964	4	27	12	20	10	8		-8			75		
4274	1964	4	27	15	20	10	7		6			65		
4274	1964	4	28	12	0	0	0		12			75		
4274	1964	4	28	15	0	0	2		16			80		
4274	1964	4	29	12	140	46	8		-2			95		
4274	1964	4	29	15	220	10	6		6			92		
4274	1964	4	30	12	0	0	0		32			50		
4274	1964	4	30	15	0	0	0		40			60		
4274	1964	5	1	12	140	26	8		-10			90		
4274	1964	5	1	15	220	10	3		16			76		
4274	1964	5	2	12	220	10	3		-25			64		
4274	1964	5	2	15	360	10	8		16			76		
4274	1964	5	3	12	220	26	8		-10			90		
4274	1964	5	3	15	220	10	3		-10			90		
4274	1964	5	4	12	260	26	6		5			66		
4274	1964	5	4	15	360	26	6		28			54		
4274	1964	5	5	12	0	0	3		10			43		
4274	1964	5	5	15	360	26	1		40			45		
4274	1964	5	6	12	200	67	8		-11			82		
4274	1964	5	6	15	200	67	4		-4			78		
4274	1964	5	7	12	360	98	8		32			72		
4274	1964	5	7	15	360	98	7		50			54		
4274	1964	5	8	12	360	10	0		38			48		
4274	1964	5	8	15	360	10	0		46			56		
4274	1964	5	9	12	360	26	0		25			69		
4274	1964	5	9	15	360	26	0		36			64		
4274	1964	5	10	12	360	26	1		18			62		
4274	1964	5	10	15	360	10	1		42			50		
4274	1964	5	11	12	360	26	1		15			80		
4274	1964	5	11	15	320	10	1		36			70		
4274	1964	5	12	12	320	10	1		28			71		
4274	1964	5	12	15	360	10	2		52			60		
4274	1964	5	13	12	0	0	9		18			95		
4274	1964	5	13	15	320	10	7		26			87		
4274	1964	5	14	12	220	46	8		12			94		
4274	1964	5	14	15	220	67	8		30			93		
4274	1964	5	14	18	220	46	8		32			92		
4274	1964	5	15	12	200	98	8		12			90		
4274	1964	5	15	15	200	123	8		18			90		
4274	1964	5	16	12	360	98	7		16			80		
4274	1964	5	16	15	360	123	6		32			75		
4274	1964	5	19	12	360	46	8		4			94		
4274	1964	5	19	15	360	46	8		25			82		
4274	1964	5	20	12	320	10	8		4			90		
4274	1964	5	20	15	320	26	8		5			90		
4274	1964	5	21	12	220	67	8		5			92		
4274	1964	5	21	15	220	67	8		8			87		
4274	1964	5	22	12	140	46	7		98			39		
4274	1964	5	22	15	360	98	8		70			53		
4274	1964	5	23	12	360	98	8		8			93		
4274	1964	5	23	15	320	46	8		16			80		
4274	1964	5	25	12	360	46	7		58			70		
4274	1964	5	25	15	360	46	8		78			57		
4274	1964	5	26	12	0	0	6		80			65		
4274	1964	5	26	15	0	0	6		100			56		
4274	1964	5	27	12	0	0	8		38			80		
4274	1964	5	27	15	0	0	8		46			50		
4274	1964	5	28	12	220	98	8		76			77		
4274	1964	5	28	15	220	123	8		70			71		
4274	1964	5	29	12	220	26	8		55			78		
4274	1964	5	29	15	220	46	8		51			73		
4274	1964	5	30	12	140	190	8		110			40		
4274	1964	5	30	15	140	123	8		105			47		
4274	1964	6	1	12	220	26	8		20			94		
4274	1964	6	1	15	220	26	8		25			95		
4274	1964	6	2	12	40	10	8		58			91		
4274	1964	6	2	15	40	10	8		68			89		
4274	1964	6	3	12	0	0	8		62			94		
4274	1964	6	3	15	0	0	8		54			92		
4274	1964	6	4	12	0	0	3		72			81		
4274	1964	6	4	15	320	10	6		52			80		
4274	1964	6	5	12	0	0	8		38			94		
4274	1964	6	6	15	220	10	9		25			91		
4274	1964	6	8	12	320	10	8		12			90		
4274	1964	6	9	12	320	10	8		38			84		
4274	1964	6	9	15	320	10	1		49			78		
4274	1964	6	10	12	320	10	7		19			86		
4274	1964	6	10	15	320	10	4		30			82		
4274	1964	6	11	12	220	123	8		37			74		
4274	1964	6	11	15	220	190	8		42			65		
4274	1964	6	12	12	220	10	8		20			93		
4274	1964	6	12	15	220	26	8		26			91		
4274	1964	6	13	12	340	46	2		47			67		
4274	1964	6	13	15	340	123	2		55			60		
4274	1964	6	15	12	0	0	7		42			85		
4274	1964	6	15	15	0	0	7		44			82		
4274	1964	6	16	12	0	0	7		48			87		
4274	1964	6	16	15	320	10	2		56			85		
4274	1964	6	17	12	220	26	8		81			53		
4274	1964	6	17	15	220	26	8		62			66		
4274	1964	6	18	12	0	0	8		105			84		
4274	1964	6	18	15	140	10	8		115			84		
4274	1964	6	19	12	220	46	8		50			88		
4274	1964	6	19	15	220	98	8		45			85		
4274	1964	6	20	12	360	154	4		36			60		
4274	1964	6	20	15	360	123	2		43			51		
4274	1964	6	22	12	320	26	4		69			49		
4274	1964	6	22	15	320	46	5		62			67		
4274	1964	6	23	12	320	10	7		23			89		
4274	1964	6	23	15	320	10	2		34			74		
4274	1964	6	24	12	360	98	8		46			58		
4274	1964	6	24	15	360	154	2		58			53		
4274	1964	6	25	12	360	67	6		33			85		
4274	1964	6	25	15	360	190	3		44			67		
4274	1964	6	26	12	360	123	2		45			67		
4274	1964	6	26	15	360	123	2		52			60		
4274	1964	6	27	12	360	26	1		55			50		
4274	1964	6	29	12	0	0	8		66			89		
4274	1964	6	29	15	320	10	8		60			91		
4274	1964	6	30	12	320	10	8		24			93		
4274	1964	7	1	12	320	10	8		36			83		
4274	1964	7	1	15	320	10	2		35			85		
4274	1964	7	7	15	320	10	0		52			87		
4274	1964	7	8	12	0	0	6		54			89		
4274	1964	7	8	15	0	0	3		63			88		
4274	1964	7	9	12	360	10	8		62			86		
4274	1964	7	9	15	320	10	7		62			85		
4274	1964	7	10	12	360	10	8		50			89		
4274	1964	7	11	12	360	10	4		80			66		
4274	1964	7	11	15	40	10	6		112			50		
4274	1964	7	13	12	320	10	3		40			90		
4274	1964	7	17	12	220	98	8		65			93		
4274	1964	7	18	12	360	46	2		78			78		
4274	1964	7	20	12	360	46	1		74			60		
4274	1964	7	20	15	360	46	2		81			55		
4274	1964	7	21	12	320	10	6		50			78		
4274	1964	7	21	15	320	10	7		46			85		
4274	1964	7	22	12	360	98	6		50			76		
4274	1964	7	22	15	360	154	4		50			70		
4274	1964	7	23	12	360	67	4		68			63		
4274	1964	7	27	12	0	0	9		60			92		
4274	1964	7	27	15	0	0	6		76			86		
4274	1964	7	28	12	320	10	6		75			86		
4274	1964	7	28	15	320	10	7		86			79		
4274	1964	7	29	15	360	154	6		62			60		
4274	1964	7	30	12	0	0	1		80			69		
4274	1964	8	1	12	320	10	8		70			93		
4274	1964	8	1	15	140	46	8		84			84		
4274	1964	8	3	12	320	10	0		88			68		
4274	1964	8	3	15	320	10	0		78			75		
4274	1964	8	22	12	320	10	1		82			78		
4274	1964	8	22	15	320	10	1		76			80		
4274	1964	8	24	12	0	0	8		61			93		
4274	1964	8	24	15	0	0	9		62			94		
4274	1964	8	25	12	360	10	3		65			84		
4274	1964	8	25	15	360	10	2		90			67		
4274	1964	8	29	12	0	0	7		104			61		
4274	1964	8	29	15	0	0	8		80			66		
4274	1964	8	31	12	320	10	7		60			93		
4274	1964	8	31	15	320	10	6		68			93		
4274	1964	9	1	12	220	10	3		75			85		
4274	1964	9	1	15	220	10	3		70			84		
4274	1964	9	2	12	220	10	8		60			93		
4274	1964	9	2	15	220	10	2		93			78		
4274	1964	9	3	12	0	0	6		98			66		
4274	1964	9	3	15	0	0	6		92			73		
4274	1964	9	4	12	0	0	6		83			70		
4274	1964	9	5	12	40	10	6		91			70		
4274	1964	9	5	15	320	10	7		86			74		
4274	1964	9	7	12	320	10	0		58			59		
4274	1964	9	7	15	320	10	0		75			54		
4274	1964	9	8	12	360	10	8		8			94		
4274	1964	9	8	15	320	10	8		19			90		
4274	1964	9	9	12	320	10	3		16			87		
4274	1964	9	9	15	320	10	1		65			65		
4274	1964	9	10	12	320	10	1		50			70		
4274	1964	9	10	15	320	10	2		63			62		
4274	1964	9	11	12	220	67	2		52			73		
4274	1964	9	11	15	220	46	6		62			79		
4274	1964	9	12	12	220	123	8		65			84		
4274	1964	9	12	15	220	123	8		56			91		
4274	1964	9	14	12	320	10	8		50			76		
4274	1964	9	14	15	220	67	8		57			80		
4274	1964	9	15	12	0	0	1		50			73		
4274	1964	9	15	15	320	10	2		50			74		
4274	1964	9	16	12	140	67	6		50			70		
4274	1964	9	16	15	140	67	4		55			75		
4274	1964	9	17	12	140	123	7		86			39		
4274	1964	9	17	15	140	46	8		66			70		
4274	1964	9	18	12	320	10	7		60			72		
4274	1964	9	18	15	320	10	8		65			70		
4274	1964	9	19	12	320	10	3		48			68		
4274	1964	9	19	15	0	0	7		59			62		
4274	1964	9	21	12	0	0	1		79			58		
4274	1964	9	21	15	140	46	1		106			34		
4274	1964	9	22	12	220	67	8		32			92		
4274	1964	9	22	15	220	67	6		36			82		
4274	1964	9	23	12	220	46	8		26			88		
4274	1964	9	23	15	320	10	2		40			78		
4274	1964	9	24	12	220	46	4		32			63		
4274	1964	9	24	15	220	67	8		46			60		
4274	1964	9	25	12	220	226	8		46			89		
4274	1964	9	25	15	220	226	8		46			90		
4274	1964	9	26	12	220	46	6		40			93		
4274	1964	9	26	15	220	10	7		52			93		
4274	1964	9	28	12	200	98	8		26			74		
4274	1964	9	28	15	220	98	8		34			73		
4274	1964	9	29	12	220	226	7		35			89		
4274	1964	9	29	15	220	226	8		41			84		
4274	1964	9	30	12	360	46	6		34			71		
4274	1964	10	1	12	360	46	1		0			55		
4274	1964	10	1	15	360	10	1		24			43		
4274	1964	10	2	12	360	154	3		5			42		
4274	1964	10	2	15	360	190	3		21			39		
4274	1964	10	3	12	360	46	1		22			60		
4274	1964	10	3	15	0	0	1		40			50		
4274	1964	10	5	12	220	98	8		32			93		
4274	1964	10	5	15	220	98	8		32			94		
4274	1964	10	6	12	360	46	6		12			86		
4274	1964	10	6	15	360	98	1		50			68		
4274	1964	10	7	12	360	98	1		21			70		
4274	1964	10	7	15	360	67	4		29			64		
4274	1964	10	8	12	360	123	2		4			82		
4274	1964	10	8	15	360	226	1		20			70		
4274	1964	10	9	12	360	98	1		6			45		
4274	1964	10	9	15	360	123	1		18			46		
4274	1964	10	10	12	360	10	1		-20			48		
4274	1964	10	10	15	220	10	1		-10			49		
4274	1964	10	12	12	140	123	8		32			69		
4274	1964	10	12	15	140	309	8		6			45		
4274	1964	10	14	12	360	10	3		-8			84		
4274	1964	10	14	15	360	10	1		-2			61		
4274	1964	10	15	12	320	10	1		-8			60		
4274	1964	10	15	15	320	10	1		-5			58		
4274	1964	10	16	12	360	10	7		-30			68		
4274	1964	10	16	15	360	10	6		2			56		
4274	1964	10	17	12	360	10	6		59			50		
4274	1964	10	17	15	360	10	6		56			61		
4274	1964	10	19	12	0	0	5		4			86		
4274	1964	10	19	15	0	0	8		16			80		
4274	1964	10	20	12	220	98	8		48			95		
4274	1964	10	20	15	220	190	8		40			96		
4274	1964	10	21	12	360	67	8		18			93		
4274	1964	10	21	15	360	67	4		35			73		
4274	1964	10	22	12	140	10	8		3			70		
4274	1964	10	22	15	140	98	8		8			71		
4274	1964	10	23	12	220	67	7		26			94		
4274	1964	10	23	15	320	98	7		35			80		
4274	1964	10	24	12	0	0	8		-5			91		
4274	1964	10	26	12	0	0	7		52			86		
4274	1964	10	26	15	0	0	6		63			84		
4274	1964	10	27	12	0	0	8		20			93		
4274	1964	10	27	15	0	0	8		25			95		
4274	1964	10	28	12	360	10	8		0			94		
4274	1964	10	28	15	0	0	8		0			95		
4274	1964	10	29	12	360	10	1		-18			72		
4274	1964	10	29	15	0	0	2		-16			70		
4274	1964	10	30	12	220	10	5		16			95		
4274	1964	10	30	15	0	0	7		10			95		
4274	1964	10	31	12	140	98	8		10			88		
4274	1964	10	31	15	140	123	8		2			93		
4274	1964	11	2	12	220	10	8		20			93		
4274	1964	11	2	15	140	10	8		26			94		
4274	1964	11	3	12	140	10	6		59			84		
4274	1964	11	3	15	0	0	4		68			86		
