stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4263	1964	8	1	12	270	10	8		72	145	50	89	148	
4263	1964	8	2	12	100	26	2		114	115	55	62	3	
4263	1964	8	2	15	250	98	1		130			52		
4263	1964	8	3	12	290	26	0		86	145	40	72	0	
4263	1964	8	3	15	290	26	0		82			72		
4263	1964	8	4	12	270	10	1		70	95	35	82	0	
4263	1964	8	4	15	270	10	1		86			77		
4263	1964	8	5	12	300	26	0		116	125	40	53	0	
4263	1964	8	5	15	300	26	2		98			67		
4263	1964	8	6	12	190	46	7		82	120	30	68	0	
4263	1964	8	6	15	190	46	7		90			68		
4263	1964	8	7	12	320	10	7		112	112	70	90	53	
4263	1964	8	7	15	320	10	7		74			89		
4263	1964	8	8	12	320	26	5		85	85	55	92	10	
4263	1964	8	8	15	270	46	2		124			71		
4263	1964	8	9	12	290	10	9		50	135	40	97	0	
4263	1964	8	9	15	290	26	2		62			87		
4263	1964	8	10	12	230	26	2		42	70	30	90	0	
4263	1964	8	10	15	270	46	1		66			77		
4263	1964	8	11	12	90	26	0		122	125	35	54	0	
4263	1964	8	11	15	90	26	0		100			68		
4263	1964	8	12	12	270	26	6		128	150	60	59	0	
4263	1964	8	12	15	270	26	3		116			66		
4263	1964	8	13	12	0	0	7		152	180	70	42	0	
4263	1964	8	13	15	270	46	1		148			52		
4263	1964	8	14	12	0	0	0		194	195	100	40	0	
4263	1964	8	14	15	0	0	0		210			39		
4263	1964	8	15	12	0	0	0		104	219	82	78	0	
4263	1964	8	15	15	260	26	0		113			70		
4263	1964	8	16	12	230	51	8		68	124	62	93	0	
4263	1964	8	16	15	250	41	8		70			92		
4263	1964	8	17	12	50	67	7		88	90	50	69	0	
4263	1964	8	17	15	50	98	7		86			72		
4263	1964	8	18	12	50	10	7		100	100	50	60	0	
4263	1964	8	18	15	310	46	5		106			55		
4263	1964	8	19	12	270	10	8		76	113	30	92	0	
4263	1964	8	19	15	270	10	8		82			86		
4263	1964	8	20	12	270	10	0		84	85	26	66	1	
4263	1964	8	20	15	270	10	0		104			58		
4263	1964	8	21	12	140	10	0		118	122	43	44	0	
4263	1964	8	21	15	310	46	0		127			42		
4263	1964	8	22	12	0	0	0		98	130	45	66	0	
4263	1964	8	22	15	0	0	0		112			61		
4263	1964	8	23	12	0	0	6		67	113	35	75	0	
4263	1964	8	23	15	230	26	6		82			70		
4263	1964	8	24	12	180	26	8		84	84	67	90	2	
4263	1964	8	24	15	180	26	8		78			98		
4263	1964	8	25	12	270	10	3		88	90	45	73	15	
4263	1964	8	25	15	270	10	1		104			61		
4263	1964	8	26	12	90	67	0		82	110	35	59	0	
4263	1964	8	26	15	90	67	0		110			48		
4263	1964	8	27	12	180	123	8		76	115	75	57	-1	
4263	1964	8	27	15	180	123	8		60			81		
4263	1964	8	28	12	0	0	8		132	138	52	49	55	
4263	1964	8	28	15	0	0	8		108			63		
4263	1964	8	29	12	0	0	7		108	148	40	78	0	
4263	1964	8	29	15	0	0	7		138			57		
4263	1964	8	30	12	200	26	0		84	165	47	76	0	
4263	1964	8	30	15	200	26	0		114			59		
4263	1964	8	31	12	180	10	7		108	136	55	66	0	
4263	1964	8	31	15	180	26	7		116			63		
4263	1964	9	1	12	220	26	7		90	125	65	80	-1	
4263	1964	9	1	15	220	26	6		94			78		
4263	1964	9	2	12	310	10	2		100	125	52	68	0	
4263	1964	9	2	15	310	10	1		132			55		
4263	1964	9	3	12	200	10	7		90	135	58	78	0	
4263	1964	9	3	15	200	10	5		102			76		
4263	1964	9	4	12	220	46	6		88	104	44	82	0	
4263	1964	9	4	15	0	0	7		88			80		
4263	1964	9	5	12	0	0	0		102	103	38	68	0	
4263	1964	9	5	15	220	51	4		105			58		
4263	1964	9	6	12	0	0	3		144	146	37	35	0	
4263	1964	9	6	15	220	26	3		149			28		
4263	1964	9	7	12	290	46	0		94	153	43	46	0	
4263	1964	9	7	15	290	46	0		148			38		
4263	1964	9	8	12	150	26	9		24	151	19	93	0	
4263	1964	9	8	15	150	26	3		52			74		
4263	1964	9	9	12	140	67	3		68	71	24	51	0	
4263	1964	9	9	15	150	67	3		85			50		
4263	1964	9	10	12	150	26	2		87	95	46	43	0	
4263	1964	9	10	15	150	26	2		102			40		
4263	1964	9	11	12	150	98	4		80	110	35	52	0	
4263	1964	9	11	15	150	123	7		76			72		
4263	1964	9	12	12	150	98	8		73	118	72	85	42	
4263	1964	9	12	15	150	98	8		74			82		
4263	1964	9	13	12	70	77	8		57	83	56	85	157	
4263	1964	9	13	15	60	82	8		59			85		
4263	1964	9	14	12	150	67	8		74	75	59	57	-1	
4263	1964	9	14	15	150	67	8		84			55		
4263	1964	9	15	12	150	10	2		76	79	16	76	-1	
4263	1964	9	15	15	150	10	2		87			72		
4263	1964	9	16	12	90	46	3		86			47	0	
4263	1964	9	16	15	90	67	4		88			46		
4263	1964	9	17	12	90	46	7		88			43	0	
4263	1964	9	17	15	90	46	7		86			46		
4263	1964	9	18	12	140	26	6		72			65	0	
4263	1964	9	18	15	140	26	6		84			54		
4263	1964	9	19	12	0	0	2		85	85	20	65	0	
4263	1964	9	19	15	0	0	1		78			65		
4263	1964	9	20	12	0	0	0		64	98	12	64	0	
4263	1964	9	20	15	0	0	0		98			46		
4263	1964	9	21	12	0	0	0		74	98	2	54	0	
4263	1964	9	21	15	0	0	0		96			52		
4263	1964	9	22	12	0	0	8		42	117	8	82	0	
4263	1964	9	22	15	0	0	8		50			76		
4263	1964	9	23	12	320	10	8		36	67	25	95	13	
4263	1964	9	23	15	320	26	8		52			78		
4263	1964	9	24	12	130	26	5		54	59	16	49	-1	
4263	1964	9	24	15	130	26	4		56			46		
4263	1964	9	25	12	130	226	8		77	78	50	86	27	
4263	1964	9	25	15	130	226	8		81			70		
4263	1964	9	26	12	130	26	8		58	95	44	76	26	
4263	1964	9	26	15	130	26	8		50			96		
4263	1964	9	27	12	0	0	4		36	65	12	72	10	
4263	1964	9	27	15	0	0	4		54			74		
4263	1964	9	28	12	180	98	8		40	55	30	67	0	
4263	1964	9	28	15	180	123	8		53			64		
4263	1964	9	29	12	120	98	8		50	73	30	88	487	
4263	1964	9	29	15	140	123	8		62			92		
4263	1964	9	30	12	300	67	7		22	50	13	92	112	
4263	1964	9	30	15	300	46	7		37			91		
4263	1964	10	1	12	130	10	1		25	47	-4	72	-1	
4263	1964	10	1	15	0	0	0		48			64		
4263	1964	10	2	12	90	10	0		28	53	-7	31	0	
4263	1964	10	2	15	330	62	2		38			31		
4263	1964	10	3	12	360	10	0		24	45	-12	61	0	
4263	1964	10	3	15	340	26	1		36			61		
4263	1964	10	4	12	340	98	8		42			88	-1	
4263	1964	10	4	15	340	98	8		44			96		
4263	1964	10	5	12	340	26	8		41	82	6	97	215	
4263	1964	10	5	15	140	26	8		46			96		
4263	1964	10	6	12	350	46	6		36	49	27	86	40	
4263	1964	10	6	15	350	46	6		38			76		
4263	1964	10	7	12	360	46	4		23	46	3	65	10	
4263	1964	10	7	15	360	46	5		36			65		
4263	1964	10	8	12	320	268	6		17	36	-4	73	56	
4263	1964	10	8	15	320	154	6		26			58		
4263	1964	10	9	12	360	67	0		24	26	7	30	-1	
4263	1964	10	9	15	360	67	0		28			30		
4263	1964	10	10	12	90	10	0		-6	28	-20	51	0	
4263	1964	10	10	15	90	10	0		18			48		
4263	1964	10	11	12	90	46	6		6	34	-16	68	0	
4263	1964	10	11	15	90	46	6		24			56		
4263	1964	10	12	12	0	0	8		50	65	6	94	134	
