stat_no	year	month	day	hour	dd	ff	n	pppp	ttt	txtxtx	tntntn	rh	rrr6	sss
4238	1966	9	14	12	170	123	8							
4238	1966	9	14	15	180	154	8							
4238	1966	9	15	12	180	26	7							
4238	1966	9	15	15	180	26	4							
4238	1966	9	16	12	120	26	7							
4238	1966	9	16	15	120	26	7							
4238	1966	9	17	12	360	93	7							
4238	1966	9	17	15	360	123	3							
4238	1966	9	19	12	150	46	9							
4238	1966	9	19	15	360	10	9							
4238	1966	9	20	12	160	26	0							
4238	1966	9	20	15	160	26	0							
4238	1966	9	21	12	160	67	5							
4238	1966	9	21	15	220	93	2							
4238	1966	9	22	12	180	123	8							
4238	1966	9	22	15	180	123	8							
4238	1966	9	23	12	180	10	7							
4238	1966	9	23	15	180	10	5							
4238	1966	9	24	12	160	26	0							
4238	1966	9	24	15	360	26	2							
4238	1966	9	26	12	160	10	7							
4238	1966	9	26	15	360	26	3							
4238	1966	9	27	12	0	0	7							
4238	1966	9	27	15	0	0	6							
4238	1966	9	28	12	0	0	0							
4238	1966	9	28	15	360	26	1							
4238	1966	9	29	12	220	26	8							
4238	1966	9	29	15	360	10	8							
4238	1966	9	30	15	0	0	6							
4238	1966	10	3	12	160	10	8							
4238	1966	10	3	15	0	0	0							
4238	1966	10	4	12	0	0	3							
4238	1966	10	4	15	360	26	2							
4238	1966	10	5	12	160	10	1							
4238	1966	10	5	15	0	0	2							
4238	1966	10	6	12	160	46	4							
4238	1966	10	6	15	160	46	1							
4238	1966	10	7	12	160	46	8							
4238	1966	10	7	15	160	93	8							
4238	1966	10	8	12	0	0	6							
4238	1966	10	8	15	0	0	1							
4238	1966	10	10	12	160	10	2							
4238	1966	10	10	15	0	0	1							
4238	1966	10	11	12	160	10	8							
4238	1966	10	11	15	340	10	8							
4238	1966	10	12	12	160	10	2							
4238	1966	10	12	15	160	26	8							
4238	1966	10	13	12	160	46	8							
4238	1966	10	13	15	160	46	8							
4238	1966	10	14	12	0	0	8							
4238	1966	10	14	15	360	10	8							
4238	1966	10	15	12	160	10	8							
4238	1966	10	15	15	220	26	8							
4238	1966	10	17	12	360	26	8							
4238	1966	10	17	15	360	26	8							
4238	1966	10	18	12	160	10	7							
4238	1966	10	18	15	160	10	7							
4238	1966	10	19	12	160	26	0							
4238	1966	10	19	15	160	26	0							
4238	1966	10	20	12	160	10	0							
4238	1966	10	20	15	360	10	1							
4238	1966	10	21	12	160	67	8							
4238	1966	10	21	15	160	67	8							
4238	1966	10	22	12	160	93	8							
4238	1966	10	22	15	160	93	3							
4238	1966	10	24	12	220	93	8							
4238	1966	10	24	15	220	93	8							
4238	1966	10	25	12	220	67	8							
4238	1966	10	25	15	220	67	8							
4238	1966	10	25	17	220	46	8							
4238	1966	10	25	18	220	67	8							
4238	1966	10	26	12	220	26	8							
4238	1966	10	26	15	220	46	8							
4238	1966	10	27	12	220	46	8							
4238	1966	10	27	15	0	0	7							
4238	1966	10	28	12	0	0	8							
4238	1966	10	28	15	220	46	6							
4238	1966	10	29	12	0	0	2							
4238	1966	10	29	15	360	10	8							
4238	1966	10	31	12	160	67	8							
4238	1966	10	31	15	160	67	8							
4238	1966	11	1	12	220	93	8							
4238	1966	11	1	15	220	93	6							
4238	1966	11	2	12	250	93	8							
4238	1966	11	2	15	320	93	8							
4238	1966	11	3	12	360	46	8							
4238	1966	11	3	15	360	26	1							
4238	1966	11	4	12	160	26	3							
4238	1966	11	4	15	160	26	8							
4238	1966	11	5	12	220	154	8							
4238	1966	11	5	15	220	154	8							
4238	1966	11	6	15	220	67	8							
4238	1966	11	7	12	320	46	8							
4238	1966	11	7	15	320	46	9							
4238	1966	11	8	12	200	67	9							
4238	1966	11	8	15	200	67	8							
4238	1966	11	9	12	160	26	8							
4238	1966	11	9	15	160	46	8							
4238	1966	11	10	12	360	93	9							
4238	1966	11	10	15	360	67	7							
4238	1966	11	11	15	160	26	8							
4238	1966	11	12	12	360	10	9							
4238	1966	11	12	15	360	93	9							
4238	1966	11	14	12	0	0	4							
4238	1966	11	14	15	160	10	8							
4238	1966	11	15	12	160	93	8							
4238	1966	11	15	15	160	93	8							
4238	1966	11	16	12	160	26	8							
4238	1966	11	16	15	160	26	8							
4238	1966	11	17	12	160	10	8							
4238	1966	11	17	15	0	0	8							
4238	1966	11	18	12	320	67	9							
4238	1966	11	18	15	320	46	7							
4238	1966	11	19	12	320	10	8							
4238	1966	11	19	15	160	46	8							
4238	1966	11	21	12	360	67	7							
4238	1966	11	21	15	360	93	9							
4238	1966	11	22	12	160	10	8							
4238	1966	11	22	15	170	10	7							
4238	1966	11	23	12	230	46	9							
4238	1966	11	23	15	230	67	8							
4238	1966	11	24	12	280	46	8							
4238	1966	11	24	15	270	46	8							
4238	1966	11	25	12	300	46	8							
4238	1966	11	25	15	360	26	8							
4238	1966	11	26	12	140	10	0							
4238	1966	11	26	15	140	67	0							
4238	1966	11	28	12	320	67	8							
4238	1966	11	28	15	320	93	8							
4238	1966	11	29	12	160	46	8							
4238	1966	11	29	15	160	46	8							
4238	1966	11	30	12	90	26	0							
4238	1966	11	30	15	90	26	1							
4238	1966	12	1	12	0	0	8							
4238	1966	12	1	15	0	0	8							
4238	1966	12	2	12	160	67	8							
4238	1966	12	2	15	220	93	8							
4238	1966	12	3	12	160	10	8							
4238	1966	12	3	15	360	67	9							
4238	1966	12	5	12	160	46	8							
4238	1966	12	5	15	160	67	8							
4238	1966	12	6	12	360	67	8							
4238	1966	12	6	15	360	67	8							
4238	1966	12	7	12	360	46	5							
4238	1966	12	7	15	360	67	8							
4238	1966	12	8	12	160	67	8							
4238	1966	12	8	15	160	67	8							
4238	1966	12	9	12	160	26	6							
4238	1966	12	9	15	160	46	8							
4238	1966	12	10	12	360	10	8							
4238	1966	12	10	15	360	10	8							
4238	1966	12	12	12	40	10	2							
4238	1966	12	12	15	40	26	6							
4238	1966	12	13	12	40	10	2							
4238	1966	12	13	15	40	10	6							
4238	1966	12	14	12	40	10	6							
4238	1966	12	14	15	40	10	1							
4238	1966	12	15	12	160	26	8							
4238	1966	12	15	15	0	0	8							
4238	1966	12	16	12	360	46	1							
4238	1966	12	16	15	360	46	3							
4238	1966	12	17	12	40	26	8							
4238	1966	12	17	15	160	46	8							
4238	1966	12	19	12	160	67	0							
4238	1966	12	19	15	160	67	0							
4238	1966	12	20	12	0	0	2							
4238	1966	12	20	15	160	26	8							
4238	1966	12	21	12	160	10	9							
4238	1966	12	21	15	220	67	7							
4238	1966	12	22	12	160	67	8							
4238	1966	12	22	15	160	93	8							
4238	1966	12	23	12	160	10	1							
4238	1966	12	23	15	160	26	0							
4238	1966	12	27	12	160	46	8							
4238	1966	12	27	15	160	46	8							
4238	1966	12	28	12	360	46	4							
4238	1966	12	28	15	360	46	7							
4238	1966	12	29	12	160	26	0							
4238	1966	12	29	15	160	10	1							
4238	1966	12	30	12	160	67	0							
4238	1966	12	30	15	160	67	0							
4238	1967	1	2	12	160	93	8							
4238	1967	1	2	15	220	93	8							
4238	1967	1	3	12	0	0	4							
4238	1967	1	3	15	360	46	8							
4238	1967	1	4	12	360	67	8							
4238	1967	1	4	15	360	67	7							
4238	1967	1	5	12	0	0	2							
4238	1967	1	5	15	0	0	8							
