Station;År;Måned;Dag;Time(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
426000;2014;01;01;0;-4,2;;;;;60,0;0,8;6,0;218;182;999,8;;;;;;
426000;2014;01;01;1;-4,5;;;;;53,0;1,1;1,4;38;23;999,6;;;;;;
426000;2014;01;01;2;-4,7;;;;;57,0;1,1;2,7;24;1;999,0;;;;;;
426000;2014;01;01;3;-4,1;;;;;58,0;0,9;2,5;65;45;998,6;;;;;;
426000;2014;01;01;4;-4,0;;;;;50,0;2,3;3,0;51;62;997,5;;;;;;
426000;2014;01;01;5;-3,4;;;;;46,0;4,0;4,8;219;191;997,5;;;;;;
426000;2014;01;01;6;-3,2;;-2,8;;-7,6;49,0;2,0;4,1;63;114;997,3;;;;;;
426000;2014;01;01;7;-2,7;;;;;51,0;2,2;4,0;38;39;996,9;;;;;;
426000;2014;01;01;8;-2,1;;;;;54,0;1,0;2,7;324;24;996,4;;;;;;
426000;2014;01;01;9;-1,3;;;;;45,0;1,0;2,5;270;275;996,0;;;;;;
426000;2014;01;01;10;-1,4;;;;;45,0;1,2;1,6;127;210;995,5;;;;;;
426000;2014;01;01;11;-0,4;0,1;;;;40,0;1,7;3,2;206;183;995,4;;;;;;
426000;2014;01;01;12;0,8;0,8;;;;45,0;2,4;4,3;43;13;994,6;;;;;;
426000;2014;01;01;13;1,3;1,9;;0,8;;39,0;2,1;4,1;75;55;994,4;;;;;;
426000;2014;01;01;14;1,5;1,9;;1,0;;39,0;2,1;3,1;21;3;994,0;;;;;;
426000;2014;01;01;15;1,6;2,2;;0,8;;39,0;2,2;3,3;46;44;993,5;;;;;;
426000;2014;01;01;16;2,4;2,9;;1,4;;37,0;1,8;3,7;73;62;992,8;;;;;;
426000;2014;01;01;17;1,7;2,9;;;;38,0;4,1;5,4;103;86;992,4;;;;;;
426000;2014;01;01;18;2,7;3,8;3,8;1,7;-3,2;32,0;0,9;5,3;51;83;992,4;;;;;;
426000;2014;01;01;19;3,2;3,6;;2,4;;32,0;2,6;5,0;47;60;992,1;;;;;;
426000;2014;01;01;20;2,2;3,1;;1,4;;42,0;3,2;4,9;116;113;992,6;;;;;;
426000;2014;01;01;21;2,9;3,8;;1,7;;38,0;6,0;9,6;82;63;992,0;;;;;;
426000;2014;01;01;22;3,0;3,9;;2,2;;37,0;5,5;12,5;104;99;991,6;;;;;;
426000;2014;01;01;23;3,2;4,2;;2,2;;33,0;4,9;10,2;100;100;991,4;;;;;;
426000;2014;01;02;0;2,9;3,7;;2,4;;33,0;4,0;10,7;102;105;991,0;;;;;;
426000;2014;01;02;1;2,8;4,1;;1,6;;34,0;3,6;7,6;91;86;991,0;;;;;;
426000;2014;01;02;2;3,3;4,2;;2,6;;31,0;4,4;9,9;110;99;990,6;;;;;;
