Station;År;Måned;Dag;Time(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
421400;2014;01;01;0;-3,9;;;;;58,0;5,1;7,2;132;132;1007,5;;;;;;
421400;2014;01;01;1;-4,2;;;;;59,0;8,2;11,3;132;132;1007,8;;;;;;
421400;2014;01;01;2;-4,3;;;;;59,0;5,7;7,7;128;128;1008,1;;;;;;
421400;2014;01;01;3;-4,1;;;;;57,0;3,6;5,1;138;138;1008,1;;;;;;
421400;2014;01;01;4;-4,7;;;;;56,0;3,1;4,1;96;96;1007,9;;;;;;
421400;2014;01;01;5;-4,4;;;;;57,0;1,0;2,1;66;66;1007,7;;;;;;
421400;2014;01;01;6;-5,1;;;;;64,0;1,5;2,6;50;50;1007,5;;;;;;
421400;2014;01;01;7;-5,3;;;;;66,0;4,1;5,1;25;25;1007,1;;;;;;
421400;2014;01;01;8;-5,7;;;;;57,0;4,6;6,7;26;26;1006,9;;;;;;
421400;2014;01;01;9;-5,2;;;;;58,0;3,1;5,7;124;124;1007,0;;;;;;
421400;2014;01;01;10;-5,2;;;;;59,0;1,0;1,5;104;104;1006,5;;;;;;
421400;2014;01;01;11;-5,2;;;;;56,0;1,0;1,5;58;58;1006,1;;;;;;
421400;2014;01;01;12;-5,3;;;;;52,0;3,1;3,6;72;72;1005,6;;;;;;
421400;2014;01;01;13;-4,2;;;;;47,0;2,1;3,1;52;52;1005,1;;;;;;
421400;2014;01;01;14;-4,6;;;;;57,0;1,0;1,5;71;71;1004,9;;;;;;
421400;2014;01;01;15;-4,8;;;;;50,0;2,1;2,6;108;108;1004,8;;;;;;
421400;2014;01;01;16;-4,2;;;;;52,0;2,1;2,6;70;70;1004,6;;;;;;
421400;2014;01;01;17;-4,5;;;;;47,0;3,1;4,1;357;357;1004,1;;;;;;
421400;2014;01;01;18;-4,5;;;;;42,0;4,1;5,7;359;359;1003,9;;;;;;
421400;2014;01;01;19;-3,8;;;;;55,0;2,6;3,6;352;352;1003,8;;;;;;
421400;2014;01;01;20;-3,2;;;;;46,0;2,6;4,1;7;7;1003,5;;;;;;
421400;2014;01;01;21;-1,7;;;;;38,0;3,6;4,6;33;33;1003,7;;;;;;
421400;2014;01;01;22;-1,5;;;;;39,0;4,1;6,2;360;360;1003,5;;;;;;
421400;2014;01;01;23;-1,9;;;;;48,0;2,6;5,7;13;13;1003,7;;;;;;
421400;2014;01;02;0;-2,4;;;;;56,0;1,5;3,1;154;154;1004,2;;;;;;
421400;2014;01;02;1;-2,7;;;;;56,0;3,6;5,1;111;111;1004,3;;;;;;
421400;2014;01;02;2;-1,6;;;;;50,0;1,0;2,1;123;123;1004,3;;;;;;
421400;2014;01;02;3;-2,7;;;;;54,0;1,5;2,6;293;293;1004,3;;;;;;
421400;2014;01;02;4;-1,6;;;;;49,0;1,5;2,1;65;65;1004,0;;;;;;
421400;2014;01;02;5;-1,9;;;;;52,0;1,0;2,1;94;94;1004,1;;;;;;
421400;2014;01;02;6;-2,2;;;;;51,0;3,1;5,7;98;98;1004,3;;;;;;
421400;2014;01;02;7;-2,5;;;;;52,0;1,5;3,1;153;153;1004,5;;;;;;
421400;2014;01;02;8;-3,2;;;;;49,0;3,6;5,1;106;106;1004,7;;;;;;
421400;2014;01;02;9;-3,9;;;;;49,0;3,6;5,1;99;99;1004,8;;;;;;
421400;2014;01;02;10;-3,7;;;;;49,0;3,6;4,1;101;101;1005,3;;;;;;
421400;2014;01;02;11;-3,3;;;;;46,0;1,5;2,6;86;86;1005,4;;;;;;
421400;2014;01;02;12;-4,8;;;;;55,0;3,6;4,6;357;357;1005,2;;;;;;
421400;2014;01;02;13;-4,2;;;;;61,0;2,6;3,6;353;353;1005,2;;;;;;
421400;2014;01;02;14;-4,5;;;;;46,0;9,8;12,9;25;25;1004,7;;;;;;
421400;2014;01;02;15;-5,3;;;;;49,0;7,2;9,3;31;31;1005,0;;;;;;
421400;2014;01;02;16;-5,3;;;;;50,0;4,6;8,8;35;35;1004,9;;;;;;
421400;2014;01;02;17;-3,6;;;;;36,0;9,3;11,3;12;12;1004,7;;;;;;
421400;2014;01;02;18;-4,6;;;;;46,0;3,6;6,2;1;1;1004,8;;;;;;
421400;2014;01;02;19;-4,3;;;;;46,0;6,2;10,3;359;359;1004,9;;;;;;
421400;2014;01;02;20;-4,8;;;;;44,0;6,7;9,8;351;351;1005,6;;;;;;
421400;2014;01;02;21;-4,6;;;;;55,0;9,3;12,4;357;357;1006,5;;;;;;
421400;2014;01;02;22;-3,9;;;;;61,0;11,8;14,9;338;338;1006,5;;;;;;
421400;2014;01;02;23;-5,1;;;;;42,0;7,7;11,3;2;2;1007,0;;;;;;
421400;2014;01;03;0;-5,4;;;;;58,0;9,3;13,9;1;1;1007,4;;;;;;
421400;2014;01;03;1;-4,8;;;;;69,0;11,3;13,9;342;342;1007,2;;;;;;
421400;2014;01;03;2;-6,8;;;;;61,0;6,2;8,2;8;8;1007,2;;;;;;
421400;2014;01;03;3;-6,6;;;;;48,0;7,2;9,8;6;6;1007,2;;;;;;
421400;2014;01;03;4;-5,5;;;;;59,0;12,9;15,4;337;337;1007,1;;;;;;
421400;2014;01;03;5;-6,9;;;;;48,0;10,8;13,9;16;16;1007,6;;;;;;
421400;2014;01;03;6;-6,7;;;;;48,0;9,3;13,9;9;9;1007,6;;;;;;
421400;2014;01;03;7;-5,9;;;;;57,0;13,4;16,0;343;343;1007,7;;;;;;
421400;2014;01;03;8;-6,1;;;;;57,0;9,8;16,0;359;359;1008,5;;;;;;
421400;2014;01;03;9;-6,2;;;;;66,0;13,4;16,5;348;348;1009,5;;;;;;
421400;2014;01;03;10;-6,3;;;;;71,0;9,8;12,9;352;352;1009,9;;;;;;
421400;2014;01;03;11;-8,8;;;;;62,0;8,8;10,8;17;17;1010,3;;;;;;
421400;2014;01;03;12;-8,4;;;;;62,0;7,7;10,3;10;10;1010,4;;;;;;
421400;2014;01;03;13;-8,4;;;;;59,0;8,2;10,3;19;19;1010,7;;;;;;
421400;2014;01;03;14;-6,1;;;;;62,0;12,9;15,4;344;344;1010,6;;;;;;
421400;2014;01;03;15;-6,6;;;;;62,0;13,4;16,5;342;342;1010,6;;;;;;
421400;2014;01;03;16;-7,3;;;;;67,0;9,8;12,9;357;357;1011,3;;;;;;
421400;2014;01;03;17;-7,7;;;;;62,0;10,8;13,4;352;352;1011,4;;;;;;
421400;2014;01;03;18;-6,8;;;;;68,0;11,8;14,4;345;345;1011,8;;;;;;
421400;2014;01;03;19;-8,2;;;;;56,0;8,8;12,4;6;6;1011,9;;;;;;
421400;2014;01;03;20;-8,3;;;;;55,0;9,8;13,9;9;9;1012,2;;;;;;
421400;2014;01;03;21;-8,5;;;;;54,0;11,3;13,9;15;15;1012,2;;;;;;
421400;2014;01;03;22;-6,7;;;;;59,0;13,4;17,0;347;347;1012,0;;;;;;
421400;2014;01;03;23;-8,6;;;;;55,0;8,8;12,4;10;10;1012,2;;;;;;
421400;2014;01;04;0;-9,0;;;;;54,0;7,7;10,8;10;10;1011,9;;;;;;
421400;2014;01;04;1;-7,9;;;;;52,0;9,8;13,4;360;360;1011,7;;;;;;
421400;2014;01;04;2;-8,9;;;;;52,0;7,7;11,3;9;9;1011,7;;;;;;
421400;2014;01;04;3;-8,9;;;;;51,0;8,2;10,8;8;8;1011,2;;;;;;
421400;2014;01;04;4;-9,2;;;;;52,0;7,7;11,3;2;2;1011,0;;;;;;
421400;2014;01;04;5;-9,2;;;;;56,0;8,2;10,8;7;7;1010,6;;;;;;
421400;2014;01;04;6;-9,2;;;;;51,0;8,8;11,3;10;10;1010,4;;;;;;
421400;2014;01;04;7;-9,8;;;;;54,0;9,3;11,3;14;14;1010,5;;;;;;
421400;2014;01;04;8;-10,9;;;;;57,0;8,2;10,3;16;16;1010,1;;;;;;
421400;2014;01;04;9;-9,2;;;;;52,0;9,3;11,3;11;11;1010,0;;;;;;
421400;2014;01;04;10;-9,6;;;;;53,0;10,8;12,4;12;12;1009,8;;;;;;
421400;2014;01;04;11;;;;;;52,0;9,3;12,4;8;8;1009,6;;;;;;
421400;2014;01;04;12;-9,2;;;;;50,0;9,8;12,9;8;8;1009,6;;;;;;
421400;2014;01;04;13;-9,5;;;;;57,0;9,3;11,3;11;11;1009,8;;;;;;
421400;2014;01;04;14;-8,6;;;;;64,0;10,3;13,9;355;355;1009,6;;;;;;
421400;2014;01;04;15;-8,1;;;;;66,0;14,4;18,0;339;339;1009,5;;;;;;
421400;2014;01;04;16;-8,1;;;;;67,0;13,4;17,0;338;338;1009,5;;;;;;
421400;2014;01;04;17;-8,7;;;;;65,0;14,4;18,5;347;347;1009,4;;;;;;
421400;2014;01;04;18;-8,3;;;;;69,0;12,4;15,4;348;348;1009,6;;;;;;
421400;2014;01;04;19;-8,4;;;;;66,0;14,4;17,0;341;341;1009,8;;;;;;
421400;2014;01;04;20;-9,0;;;;;68,0;12,4;14,9;335;335;1010,3;;;;;;
421400;2014;01;04;21;-9,2;;;;;67,0;12,4;14,9;347;347;1010,4;;;;;;
421400;2014;01;04;22;-9,4;;;;;69,0;11,8;15,4;345;345;1010,7;;;;;;
421400;2014;01;04;23;-9,5;;;;;65,0;11,8;14,9;348;348;1011,1;;;;;;
421400;2014;01;05;0;-9,7;;;;;64,0;9,3;12,9;354;354;1011,4;;;;;;
421400;2014;01;05;1;-9,4;;;;;66,0;12,4;15,4;335;335;1010,7;;;;;;
421400;2014;01;05;2;-11,8;;;;;64,0;7,7;10,3;15;15;1011,1;;;;;;
421400;2014;01;05;3;-10,9;;;;;66,0;7,7;10,8;11;11;1010,7;;;;;;
421400;2014;01;05;4;-11,2;;;;;66,0;7,2;10,3;11;11;1010,7;;;;;;
421400;2014;01;05;5;-12,3;;;;;59,0;8,2;10,3;22;22;1010,6;;;;;;
421400;2014;01;05;6;-12,2;;;;;58,0;7,7;9,3;26;26;1010,0;;;;;;
421400;2014;01;05;7;-12,0;;;;;59,0;7,7;10,3;20;20;1009,6;;;;;;
421400;2014;01;05;8;-10,9;;;;;60,0;7,2;10,8;5;5;1008,9;;;;;;
421400;2014;01;05;9;-11,7;;;;;56,0;8,8;11,8;12;12;1008,7;;;;;;
421400;2014;01;05;10;-11,4;;;;;56,0;8,2;10,3;5;5;1008,1;;;;;;
421400;2014;01;05;11;-11,8;;;;;58,0;8,2;11,3;5;5;1007,9;;;;;;
421400;2014;01;05;12;-11,8;;;;;60,0;8,2;12,4;6;6;1007,4;;;;;;
421400;2014;01;05;13;-11,7;;;;;60,0;9,3;11,8;10;10;1007,1;;;;;;
421400;2014;01;05;14;-11,8;;;;;59,0;7,7;10,3;8;8;1006,6;;;;;;
421400;2014;01;05;15;;;;;;59,0;8,8;10,8;12;12;1006,2;;;;;;
421400;2014;01;05;16;-12,1;;;;;62,0;7,7;10,8;11;11;1005,8;;;;;;
421400;2014;01;05;17;-13,4;;;;;60,0;8,2;9,3;18;18;1005,5;;;;;;
421400;2014;01;05;18;-13,6;;;;;61,0;8,2;9,3;17;17;1005,1;;;;;;
421400;2014;01;05;19;-13,0;;;;;60,0;8,2;9,8;16;16;1005,2;;;;;;
421400;2014;01;05;20;-12,6;;;;;59,0;7,2;8,2;27;27;1005,4;;;;;;
421400;2014;01;05;21;-12,2;;;;;61,0;6,2;7,2;24;24;1005,5;;;;;;
421400;2014;01;05;22;-10,2;;;;;67,0;6,7;9,3;326;326;1005,5;;;;;;
421400;2014;01;05;23;-10,3;;;;;67,0;7,2;10,3;338;338;1005,8;;;;;;
421400;2014;01;06;0;-10,1;;;;;70,0;6,7;9,8;347;347;1005,7;;;;;;
421400;2014;01;06;1;-10,0;;;;;71,0;6,7;9,3;335;335;1005,8;;;;;;
421400;2014;01;06;2;-9,7;;;;;79,0;7,2;10,3;330;330;1006,0;;;;;;
421400;2014;01;06;3;-10,0;;;;;74,0;8,8;12,4;309;309;1006,2;;;;;;
421400;2014;01;06;4;-10,3;;;;;72,0;7,7;9,8;302;302;1006,1;;;;;;
421400;2014;01;06;5;-10,1;;;;;71,0;7,2;9,3;302;302;1006,2;;;;;;
421400;2014;01;06;6;-10,2;;;;;70,0;5,7;8,8;302;302;1006,2;;;;;;
421400;2014;01;06;7;-10,3;;;;;66,0;4,1;7,7;311;311;1006,6;;;;;;
421400;2014;01;06;8;-10,5;;;;;74,0;6,2;8,2;337;337;1006,8;;;;;;
421400;2014;01;06;9;-10,4;;;;;68,0;3,1;5,1;314;314;1007,2;;;;;;
421400;2014;01;06;10;-10,2;;;;;65,0;4,1;6,2;331;331;1007,6;;;;;;
421400;2014;01;06;11;-10,1;;;;;72,0;6,7;8,8;313;313;1007,9;;;;;;
421400;2014;01;06;12;-10,5;;;;;73,0;6,2;7,7;326;326;1008,5;;;;;;
421400;2014;01;06;13;-10,7;;;;;76,0;5,7;7,2;340;340;1009,0;;;;;;
421400;2014;01;06;14;-11,3;;;;;79,0;4,6;5,1;24;24;1009,6;;;;;;
421400;2014;01;06;15;-10,8;;;;;83,0;4,6;6,7;347;347;1009,9;;;;;;
421400;2014;01;06;16;-11,2;;;;;85,0;6,2;8,2;290;290;1010,4;;;;;;
421400;2014;01;06;17;-11,4;;;;;82,0;10,3;12,9;256;256;1011,1;;;;;;
421400;2014;01;06;18;-12,3;;;;;77,0;9,8;12,4;264;264;1012,5;;;;;;
421400;2014;01;06;19;-13,3;;;;;79,0;10,3;13,4;275;275;1013,7;;;;;;
421400;2014;01;06;20;-13,3;;;;;76,0;5,1;8,2;273;273;1015,0;;;;;;
421400;2014;01;06;21;-13,8;;;;;77,0;7,2;10,3;249;249;1015,7;;;;;;
421400;2014;01;06;22;-14,2;;;;;76,0;6,7;10,3;251;251;1017,1;;;;;;
421400;2014;01;06;23;-14,9;;;;;76,0;6,7;9,3;237;237;1018,0;;;;;;
421400;2014;01;07;0;-14,8;;;;;73,0;5,7;8,8;220;220;1018,6;;;;;;
421400;2014;01;07;1;-14,6;;;;;73,0;4,1;6,7;228;228;1019,2;;;;;;
421400;2014;01;07;2;-14,1;;;;;69,0;5,1;8,2;196;196;1019,3;;;;;;
421400;2014;01;07;3;-13,9;;;;;69,0;4,1;6,7;197;197;1019,6;;;;;;
421400;2014;01;07;4;-13,1;;;;;70,0;4,1;6,2;184;184;1019,5;;;;;;
421400;2014;01;07;5;-13,0;;;;;70,0;2,6;4,6;176;176;1019,7;;;;;;
421400;2014;01;07;6;-12,5;;;;;73,0;4,1;7,7;132;132;1019,4;;;;;;
421400;2014;01;07;7;-12,4;;;;;67,0;5,1;7,7;145;145;1019,7;;;;;;
421400;2014;01;07;8;-12,3;;;;;74,0;6,2;8,2;128;128;1019,5;;;;;;
421400;2014;01;07;9;-12,2;;;;;76,0;6,7;9,8;121;121;1019,1;;;;;;
421400;2014;01;07;10;-12,5;;;;;65,0;2,1;3,1;142;142;1018,9;;;;;;
421400;2014;01;07;11;-12,2;;;;;56,0;1,5;3,1;44;44;1019,0;;;;;;
421400;2014;01;07;12;-12,1;;;;;50,0;3,1;4,6;80;80;1017,7;;;;;;
421400;2014;01;07;13;-12,1;;;;;42,0;5,7;7,2;48;48;1016,2;;;;;;
421400;2014;01;07;14;-11,8;;;;;47,0;6,2;8,2;59;59;1014,3;;;;;;
421400;2014;01;07;15;-10,3;;;;;53,0;4,6;6,7;158;158;1012,8;;;;;;
421400;2014;01;07;16;-10,9;;;;;47,0;3,1;5,7;44;44;1011,4;;;;;;
421400;2014;01;07;17;-10,8;;;;;44,0;3,1;5,1;62;62;1009,6;;;;;;
421400;2014;01;07;18;-10,6;;;;;49,0;2,6;4,1;86;86;1007,2;;;;;;
421400;2014;01;07;19;-10,4;;;;;49,0;3,1;4,1;82;82;1004,6;;;;;;
421400;2014;01;07;20;-9,6;;;;;56,0;1,0;2,1;76;76;1002,6;;;;;;
421400;2014;01;07;21;-8,1;;;;;63,0;6,2;11,8;79;79;999,0;;;;;;
421400;2014;01;07;22;-7,1;;;;;55,0;5,7;8,8;68;68;996,5;;;;;;
421400;2014;01;07;23;-6,4;;;;;48,0;3,6;8,8;75;75;993,8;;;;;;
421400;2014;01;08;0;-6,0;;;;;58,0;3,1;5,7;114;114;990,1;;;;;;
421400;2014;01;08;1;-5,8;;;;;61,0;14,9;21,6;56;56;985,4;;;;;;
421400;2014;01;08;2;-7,2;;;;;73,0;13,9;22,7;42;42;980,3;;;;;;
421400;2014;01;08;3;-2,5;;;;;44,0;4,6;7,7;307;307;979,6;;;;;;
421400;2014;01;08;4;-2,8;;;;;46,0;3,1;4,1;325;325;977,5;;;;;;
421400;2014;01;08;5;1,2;;;;;40,0;4,6;13,4;205;205;975,6;;;;;;
421400;2014;01;08;6;2,0;;;;;51,0;24,7;35,0;128;128;970,9;;;;;;
421400;2014;01;08;7;0,4;;;;;71,0;14,4;21,1;134;134;975,0;;;;;;
421400;2014;01;08;8;1,3;;;;;69,0;16,0;23,7;133;133;973,6;;;;;;
421400;2014;01;08;9;1,3;;;;;74,0;18,5;22,7;145;145;974,4;;;;;;
