Station;År;Måned;Dag;Time(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
434100;2014;01;01;0;-8,7;;;;;76,0;3,0;5,8;301;305;1020,4;;;;;;
434100;2014;01;01;1;-8,7;;;;;73,0;4,0;6,2;352;310;1020,5;;;;;;
434100;2014;01;01;2;-9,9;;;;;74,0;4,9;7,2;9;355;1020,3;;;;;;
434100;2014;01;01;3;-11,2;;;;;75,0;0,9;5,6;293;331;1020,2;;;;;;
434100;2014;01;01;4;-11,9;;;;;76,0;5,4;6,9;8;3;1019,8;;;;;;
434100;2014;01;01;5;-13,1;;;;;77,0;1,3;7,7;324;341;1019,6;;;;;;
434100;2014;01;01;6;-14,9;;-7,3;;-15,2;79,0;1,9;6,9;342;354;1019,7;;;;;;
434100;2014;01;01;7;-14,6;;;;;79,0;1,8;5,0;336;338;1019,4;;;;;;
434100;2014;01;01;8;-13,7;;;;;77,0;1,5;4,7;356;331;1019,3;;;;;;
434100;2014;01;01;9;-14,7;;;;;78,0;3,7;7,4;338;338;1019,5;;;;;;
434100;2014;01;01;10;-16,0;;;;;77,0;2,4;4,3;327;347;1019,4;;;;;;
434100;2014;01;01;11;-15,8;;;;;77,0;1,6;5,1;176;341;1019,0;;;;;;
434100;2014;01;01;12;-15,6;;;;;77,0;1,2;4,4;58;283;1018,4;;;;;;
434100;2014;01;01;13;-14,3;;;;;77,0;1,1;6,1;323;331;1017,9;;;;;;
434100;2014;01;01;14;-13,9;;;;;77,0;3,3;4,6;1;339;1017,5;;;;;;
434100;2014;01;01;15;-15,4;;;;;76,0;5,3;8,0;329;341;1017,3;;;;;;
434100;2014;01;01;16;-16,9;;;;;79,0;3,8;7,7;322;349;1017,4;;;;;;
434100;2014;01;01;17;-17,6;;;;;78,0;5,3;7,3;358;333;1016,9;;;;;;
434100;2014;01;01;18;-14,3;;-13,6;;-18,0;73,0;3,2;7,0;325;335;1016,6;;;;;;
434100;2014;01;01;19;-16,4;;;;;72,0;4,2;7,3;341;346;1016,9;;;;;;
434100;2014;01;01;20;-17,3;;;;;74,0;5,0;10,0;333;346;1017,0;;;;;;
434100;2014;01;01;21;-16,9;;;;;70,0;5,7;9,0;356;351;1016,8;;;;;;
434100;2014;01;01;22;-15,8;;;;;67,0;6,6;10,9;360;352;1016,6;;;;;;
434100;2014;01;01;23;-16,7;;;;;63,0;9,6;12,8;5;356;1016,5;;;;;;
434100;2014;01;02;0;-17,6;;;;;69,0;8,8;12,0;8;360;1016,7;;;;;;
434100;2014;01;02;1;-15,8;;;;;63,0;9,4;13,6;4;1;1016,4;;;;;;
434100;2014;01;02;2;-16,7;;;;;69,0;10,3;15,2;2;3;1016,3;;;;;;
434100;2014;01;02;3;-16,9;;;;;70,0;9,5;13,7;1;5;1016,7;;;;;;
434100;2014;01;02;4;-13,2;;;;;71,0;10,9;13,9;355;356;1016,0;;;;;;
434100;2014;01;02;5;-12,9;;;;;72,0;10,6;14,2;357;353;1015,8;;;;;;
434100;2014;01;02;6;-11,9;;-11,4;;-18,5;67,0;11,0;14,9;341;342;1015,3;;;;;;
434100;2014;01;02;7;-11,7;;;;;69,0;10,9;17,5;304;320;1015,4;;;;;;
434100;2014;01;02;8;-11,6;;;;;65,0;10,2;17,5;322;315;1015,4;;;;;;
434100;2014;01;02;9;-12,1;;;;;61,0;11,6;16,6;309;313;1015,4;;;;;;
434100;2014;01;02;10;-12,6;;;;;61,0;13,3;17,5;294;306;1015,3;;;;;;
434100;2014;01;02;11;-11,8;;;;;59,0;13,5;18,0;302;305;1014,8;;;;;;
434100;2014;01;02;12;-11,6;;;;;59,0;11,9;17,5;316;313;1014,8;;;;;;
434100;2014;01;02;13;-11,9;;;;;57,0;10,0;16,0;316;314;1014,6;;;;;;
434100;2014;01;02;14;-11,3;;;;;59,0;12,3;16,1;323;316;1014,3;;;;;;
434100;2014;01;02;15;-10,9;;;;;58,0;12,3;16,4;317;319;1014,0;;;;;;
434100;2014;01;02;16;-10,8;;;;;53,0;11,4;16,3;327;319;1013,4;;;;;;
434100;2014;01;02;17;-10,8;;;;;56,0;14,6;17,1;331;329;1013,2;;;;;;
434100;2014;01;02;18;-10,8;;-10,3;;-15,0;59,0;14,0;17,0;326;328;1013,0;;;;;;
434100;2014;01;02;19;-10,8;;;;;58,0;11,1;17,6;320;324;1013,2;;;;;;
434100;2014;01;02;20;-10,6;;;;;58,0;10,8;16,8;325;321;1012,9;;;;;;
434100;2014;01;02;21;-10,7;;;;;59,0;12,3;15,9;321;321;1012,8;;;;;;
434100;2014;01;02;22;-9,9;;;;;59,0;11,7;16,2;323;324;1012,5;;;;;;
434100;2014;01;02;23;-9,7;;;;;60,0;12,7;18,3;312;320;1012,2;;;;;;
434100;2014;01;03;0;-9,2;;;;;58,0;12,7;17,5;306;312;1012,1;;;;;;
