Station;År;Måned;Dag;Time(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
439000;2014;01;02;12;-0,9;-0,5;;-1,1;;62,0;24,1;41,3;18;20;992,3;;;;;;
439000;2014;01;02;13;-1,1;-0,7;;-1,3;;66,0;24,3;37,5;20;19;992,2;;;;;;
439000;2014;01;02;14;-0,9;-0,7;;-1,2;;66,0;22,8;38,7;21;20;992,9;;;;;;
439000;2014;01;02;15;-1,0;-0,8;;-1,3;;65,0;23,2;35,0;23;22;991,2;;;;;;
439000;2014;01;02;16;-0,8;-0,6;;-1,0;;63,0;22,3;34,9;21;19;991,1;;;;;;
439000;2014;01;02;17;-0,8;-0,7;;-1,0;;62,0;21,0;30,1;24;19;992,1;;;;;;
439000;2014;01;02;18;-0,8;-0,7;-0,4;-1,0;-1,6;60,0;22,0;31,7;22;20;992,0;;;;;;
439000;2014;01;02;19;-0,8;-0,6;;-1,0;;59,0;19,0;31,9;20;20;991,9;;;;;;
439000;2014;01;02;20;-1,1;-0,8;;-1,4;;58,0;18,0;29,7;18;18;992,4;;;;;;
439000;2014;01;02;21;-1,3;-1,1;;-1,5;;58,0;16,3;28,3;10;17;992,4;;;;;;
439000;2014;01;02;22;-1,5;-1,3;;-1,6;;56,0;17,3;26,9;14;15;992,4;;;;;;
439000;2014;01;02;23;-1,4;-1,3;;-1,6;;53,0;15,6;26,3;9;15;992,4;;;;;;
439000;2014;01;03;0;-1,5;-1,3;;-1,7;;50,0;15,1;24,4;8;16;992,6;;;;;;
439000;2014;01;03;1;-1,7;-1,5;;-1,8;;50,0;13,5;25,4;16;18;992,5;;;;;;
439000;2014;01;03;2;-1,7;-1,6;;-1,9;;53,0;14,0;21,4;21;18;992,5;;;;;;
439000;2014;01;03;3;-1,7;-1,5;;-1,8;;53,0;9,8;20,0;341;0;992,1;;;;;;
439000;2014;01;03;4;-1,4;-1,2;;-1,7;;51,0;10,0;18,0;338;335;992,2;;;;;;
439000;2014;01;03;5;-1,4;-1,2;;-1,7;;53,0;13,3;22,3;353;340;992,6;;;;;;
439000;2014;01;03;6;-1,7;-1,4;-0,6;-2,0;-2,0;56,0;15,4;22,2;19;12;993,1;;;;;;
439000;2014;01;03;7;-1,9;-1,6;;-2,0;;53,0;9,3;20,7;333;5;993,7;;;;;;
439000;2014;01;03;8;-1,5;-1,2;;-1,7;;48,0;8,0;14,3;354;345;993,7;;;;;;
439000;2014;01;03;9;-1,2;-0,8;;-1,5;;46,0;9,4;16,5;333;349;994,1;;;;;;
439000;2014;01;03;10;-0,9;-0,7;;-1,1;;42,0;7,5;14,8;338;336;994,4;;;;;;
439000;2014;01;03;11;-1,0;-0,8;;-1,2;;43,0;6,6;11,9;322;330;994,8;;;;;;
439000;2014;01;03;12;-1,1;-0,7;;-1,5;;46,0;6,5;9,4;311;320;995,1;;;;;;
439000;2014;01;03;13;-1,8;-1,4;;-2,4;;54,0;4,0;7,4;316;316;995,3;;;;;;
439000;2014;01;03;14;-2,0;-1,6;;-2,4;;57,0;3,0;5,4;303;308;995,3;;;;;;
439000;2014;01;03;15;-1,3;-0,9;;-2,0;;50,0;6,0;8,1;305;307;995,4;;;;;;
439000;2014;01;03;16;-1,2;-1,0;;-1,4;;50,0;4,1;6,6;279;301;995,3;;;;;;
439000;2014;01;03;17;-1,5;-1,1;;-1,7;;50,0;5,2;7,4;296;293;995,6;;;;;;
439000;2014;01;03;18;-1,4;-1,3;-0,7;-1,6;-2,4;47,0;5,1;6,6;296;292;996,0;;;;;;
439000;2014;01;03;19;-1,4;-1,1;;-1,7;;51,0;6,0;8,4;298;300;996,4;;;;;;
439000;2014;01;03;20;-1,6;-1,3;;-1,8;;52,0;5,4;8,0;296;295;996,5;;;;;;
439000;2014;01;03;21;-1,7;-1,6;;-1,8;;52,0;3,7;7,3;295;295;996,6;;;;;;
439000;2014;01;03;22;-1,8;-1,6;;-1,9;;54,0;5,5;9,4;294;292;996,5;;;;;;
439000;2014;01;03;23;-1,8;-1,7;;-1,9;;55,0;2,5;7,2;288;293;996,4;;;;;;
439000;2014;01;04;0;-1,8;-1,7;;-1,9;;57,0;4,6;8,0;299;295;996,3;;;;;;
439000;2014;01;04;1;-1,7;-1,5;;-2,0;;57,0;5,3;8,3;294;290;996,0;;;;;;
439000;2014;01;04;2;-1,7;-1,4;;-1,9;;57,0;4,7;7,8;297;295;995,9;;;;;;
439000;2014;01;04;3;-1,6;-1,3;;-1,9;;60,0;4,8;6,8;295;293;995,2;;;;;;
439000;2014;01;04;4;-1,9;-1,8;;-2,0;;66,0;6,0;7,9;298;300;994,6;;;;;;
439000;2014;01;04;5;-2,1;-1,9;;-2,2;;76,0;4,5;6,8;294;293;994,1;;;;;;
439000;2014;01;04;6;-1,9;-1,6;-1,1;-2,1;-2,2;83,0;4,2;6,7;299;300;993,9;;;;;;
439000;2014;01;04;7;-1,2;-0,8;;-1,8;;81,0;4,8;9,4;335;332;993,4;;;;;;
439000;2014;01;04;8;-0,6;-0,4;;-0,9;;76,0;5,0;10,5;339;337;992,5;;;;;;
439000;2014;01;04;9;-0,3;-0,1;;-0,6;;71,0;8,2;11,8;337;337;991,8;;;;;;
439000;2014;01;04;10;-0,2;-0,1;;-0,4;;68,0;6,2;11,1;332;335;990,9;;;;;;
439000;2014;01;04;11;0,2;0,6;;-0,2;;64,0;8,6;13,8;4;340;990,3;;;;;;
439000;2014;01;04;12;0,1;0,5;;-0,2;;63,0;8,8;15,1;23;20;989,6;;;;;;
439000;2014;01;04;13;0,2;0,5;;-0,2;;64,0;11,6;16,4;22;10;988,9;;;;;;
439000;2014;01;04;14;-0,2;0,3;;-0,4;;71,0;9,3;16,0;352;9;987,8;;;;;;
439000;2014;01;04;15;-0,3;0,0;;-1,0;;76,0;11,7;17,9;19;356;986,6;;;;;;
439000;2014;01;04;16;-0,8;-0,6;;-1,0;;84,0;12,5;20,4;6;6;985,5;;;;;;
439000;2014;01;04;17;-1,3;-1,0;;-1,4;;95,0;15,1;21,6;19;18;984,6;;;;;;
439000;2014;01;04;18;-1,2;-1,0;0,6;-1,3;-1,8;98,0;16,7;26,5;21;16;984,2;;;;;;
439000;2014;01;04;19;-1,0;-0,8;;-1,1;;98,0;18,6;27,5;19;19;984,0;;;;;;
439000;2014;01;04;20;-1,0;-0,7;;-1,1;;96,0;21,4;30,9;22;21;984,4;;;;;;
439000;2014;01;04;21;-1,0;-0,9;;-1,2;;97,0;22,1;33,5;23;21;984,7;;;;;;
439000;2014;01;04;22;-1,2;-1,1;;-1,3;;99,0;23,1;32,7;22;22;984,9;;;;;;
439000;2014;01;04;23;-1,1;-0,9;;-1,3;;99,0;22,6;32,4;21;20;985,1;;;;;;
439000;2014;01;05;0;-0,8;-0,5;;-1,0;;96,0;23,9;36,7;22;20;985,8;;;;;;
439000;2014;01;05;1;-1,0;-0,5;;-1,3;;95,0;23,4;36,4;19;21;986,4;;;;;;
439000;2014;01;05;2;-0,6;-0,2;;-0,8;;87,0;20,9;37,5;6;17;986,6;;;;;;
439000;2014;01;05;3;-0,2;0,1;;-0,5;;80,0;16,2;31,2;347;1;987,2;;;;;;
439000;2014;01;05;4;0,1;0,3;;-0,1;;72,0;13,7;30,0;3;0;987,9;;;;;;
439000;2014;01;05;5;-0,4;0,1;;-0,7;;76,0;16,4;29,4;21;20;987,9;;;;;;
439000;2014;01;05;6;0,0;0,4;0,4;-0,6;-1,3;76,0;17,4;27,1;22;19;988,2;;;;;;
439000;2014;01;05;7;0,5;0,8;;0,2;;65,0;12,7;22,2;356;14;988,6;;;;;;
439000;2014;01;05;8;0,9;1,1;;0,7;;62,0;12,0;22,0;349;349;989,0;;;;;;
439000;2014;01;05;9;1,0;1,3;;0,8;;60,0;11,8;18,3;5;359;989,6;;;;;;
439000;2014;01;05;10;1,0;1,2;;0,9;;59,0;9,8;16,2;19;6;989,9;;;;;;
