Station;År;Måned;Dag;Time(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
421900;2014;01;02;9;-7,8;;;;;74,0;;;;;1004,3;;;;;;
421900;2014;01;02;10;-8,6;;;;;80,0;;;;;1004,4;;;;;;
421900;2014;01;02;11;-8,9;;;;;84,0;;;;;1004,4;;;;;;
421900;2014;01;02;12;-8,7;;;;;82,0;;;;;1004,0;;;;;;
421900;2014;01;02;13;-10,3;;;;;82,0;;;;;1003,8;;;;;;
421900;2014;01;02;14;-5,7;;;;;71,0;;;;;1003,6;;;;;;
421900;2014;01;02;15;-5,9;;;;;59,0;;;;;1003,6;;;;;;
421900;2014;01;02;16;-7,1;;;;;74,0;;;;;1003,1;;;;;;
421900;2014;01;02;17;-6,7;;;;;75,0;;;;;1002,8;;;;;;
421900;2014;01;02;18;-7,5;;-5,3;;-10,7;74,0;;;;;1003,0;;;;;;
421900;2014;01;02;19;-6,4;;;;;73,0;;;;;1003,2;;;;;;
421900;2014;01;02;20;-7,6;;;;;62,0;;;;;1003,7;;;;;;
421900;2014;01;02;21;-7,5;;;;;76,0;;;;;1003,9;;;;;;
421900;2014;01;02;22;-8,2;;;;;79,0;;;;;1004,2;;;;;;
421900;2014;01;02;23;-8,9;;;;;77,0;;;;;1004,1;;;;;;
421900;2014;01;03;0;-6,5;;;;;77,0;;;;;1004,4;;;;;;
421900;2014;01;03;1;-7,0;;;;;60,0;;;;;1004,4;;;;;;
421900;2014;01;03;2;-6,8;;;;;66,0;;;;;1004,5;;;;;;
421900;2014;01;03;3;-7,3;;;;;66,0;;;;;1004,6;;;;;;
421900;2014;01;03;4;-7,0;;;;;77,0;;;;;1004,6;;;;;;
421900;2014;01;03;5;-8,1;;;;;77,0;;;;;1004,8;;;;;;
421900;2014;01;03;6;-9,1;;-6,0;;-9,8;80,0;;;;;1005,1;;;;;;
421900;2014;01;03;7;-8,1;;;;;80,0;;;;;1005,6;;;;;;
421900;2014;01;03;8;-9,8;;;;;78,0;;;;;1006,1;;;;;;
421900;2014;01;03;9;-7,3;;;;;81,0;;;;;1006,7;;;;;;
421900;2014;01;03;10;-7,0;;;;;65,0;;;;;1007,1;;;;;;
421900;2014;01;03;11;-7,6;;;;;65,0;;;;;1007,4;;;;;;
421900;2014;01;03;12;-8,0;;;;;63,0;;;;;1007,5;;;;;;
421900;2014;01;03;13;-10,8;;;;;69,0;;;;;1008,0;;;;;;
421900;2014;01;03;14;-9,4;;;;;76,0;;;;;1008,3;;;;;;
421900;2014;01;03;15;-10,1;;;;;73,0;;;;;1008,2;;;;;;
421900;2014;01;03;16;-11,2;;;;;74,0;;;;;1008,4;;;;;;
421900;2014;01;03;17;-12,0;;;;;79,0;;;;;1008,5;;;;;;
421900;2014;01;03;18;;;-6,9;;-12,0;81,0;;;;;;;;;;;
421900;2014;01;09;16;-3,3;;;;;71,0;;;;;974,3;;;;;;
421900;2014;01;09;17;-3,0;;;;;66,0;;;;;974,3;;;;;;
421900;2014;01;09;18;-3,3;;-3,0;;-3,7;76,0;;;;;974,5;;;;;;
421900;2014;01;09;19;-3,2;;;;;73,0;;;;;974,9;;;;;;
421900;2014;01;09;20;-3,2;;;;;68,0;;;;;977,6;;;;;;
421900;2014;01;09;21;-4,1;;;;;83,0;;;;;980,4;;;;;;
421900;2014;01;09;22;-4,3;;;;;87,0;;;;;981,9;;;;;;
421900;2014;01;09;23;-5,3;;;;;86,0;;;;;983,0;;;;;;
421900;2014;01;10;0;-3,5;;;;;82,0;;;;;984,0;;;;;;
421900;2014;01;10;1;-4,7;;;;;87,0;;;;;984,9;;;;;;
421900;2014;01;10;2;-3,9;;;;;87,0;;;;;984,4;;;;;;
421900;2014;01;10;3;-4,4;;;;;75,0;;;;;984,4;;;;;;
421900;2014;01;10;4;-4,7;;;;;72,0;;;;;984,7;;;;;;
421900;2014;01;10;5;-4,3;;;;;65,0;;;;;985,0;;;;;;
421900;2014;01;10;6;-5,5;;-2,9;;-5,5;63,0;;;;;985,7;;;;;;
421900;2014;01;10;7;-5,7;;;;;63,0;;;;;986,0;;;;;;
421900;2014;01;10;8;-6,8;;;;;65,0;;;;;986,6;;;;;;
421900;2014;01;10;9;-6,6;;;;;66,0;;;;;987,1;;;;;;
421900;2014;01;10;10;-6,3;;;;;62,0;;;;;987,3;;;;;;
421900;2014;01;10;11;-6,1;;;;;61,0;;;;;987,4;;;;;;
421900;2014;01;10;12;-6,1;;;;;60,0;;;;;987,8;;;;;;
421900;2014;01;10;13;-5,4;;;;;65,0;;;;;988,2;;;;;;
421900;2014;01;10;14;-5,4;;;;;68,0;;;;;988,3;;;;;;
421900;2014;01;10;15;-5,0;;;;;66,0;;;;;988,8;;;;;;
421900;2014;01;10;16;-5,8;;;;;68,0;;;;;989,1;;;;;;
421900;2014;01;10;17;-5,8;;;;;70,0;;;;;990,3;;;;;;
421900;2014;01;10;18;-6,4;;-5,8;;-6,4;68,0;;;;;991,4;;;;;;
421900;2014;01;10;19;-6,4;;;;;68,0;;;;;992,3;;;;;;
421900;2014;01;10;20;-6,7;;;;;69,0;;;;;993,1;;;;;;
421900;2014;01;10;21;-6,0;;;;;69,0;;;;;993,9;;;;;;
421900;2014;01;10;22;-5,3;;;;;66,0;;;;;994,6;;;;;;
421900;2014;01;10;23;-5,5;;;;;63,0;;;;;995,0;;;;;;
421900;2014;01;11;0;-5,7;;;;;63,0;;;;;995,4;;;;;;
421900;2014;01;11;1;-5,8;;;;;64,0;;;;;995,4;;;;;;
421900;2014;01;11;2;-5,9;;;;;69,0;;;;;995,5;;;;;;
421900;2014;01;11;3;-6,1;;;;;67,0;;;;;995,4;;;;;;
421900;2014;01;11;4;-6,3;;;;;67,0;;;;;995,4;;;;;;
421900;2014;01;11;5;-6,8;;;;;65,0;;;;;995,2;;;;;;
421900;2014;01;11;6;-7,7;;-5,1;;-8,2;63,0;;;;;995,2;;;;;;
421900;2014;01;11;7;-7,3;;;;;61,0;;;;;995,3;;;;;;
421900;2014;01;11;8;-7,3;;;;;57,0;;;;;995,4;;;;;;
421900;2014;01;11;9;-7,2;;;;;53,0;;;;;995,6;;;;;;
421900;2014;01;11;10;-6,9;;;;;51,0;;;;;995,6;;;;;;
421900;2014;01;11;11;-6,9;;;;;50,0;;;;;995,6;;;;;;
421900;2014;01;11;12;-6,8;;;;;52,0;;;;;995,6;;;;;;
421900;2014;01;11;13;-6,8;;;;;51,0;;;;;996,2;;;;;;
421900;2014;01;11;14;-6,8;;;;;51,0;;;;;996,6;;;;;;
