Station;År;Måned;Dag;Time(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
428500;2014;01;01;0;-2,3;;;;;66,0;6,2;7,2;317;317;997,6;;;;;;
428500;2014;01;01;1;-2,0;;;;;67,0;5,1;5,7;312;312;997,1;;;;;;
428500;2014;01;01;2;-1,7;;;;;61,0;6,2;7,7;315;315;996,4;;;;;;
428500;2014;01;01;3;-1,7;;;;;63,0;4,6;5,7;333;333;996,0;;;;;;
428500;2014;01;01;4;-1,8;;;;;67,0;4,6;5,1;319;319;995,1;;;;;;
428500;2014;01;01;5;-2,0;;;;;70,0;4,1;4,6;317;317;994,4;;;;;;
428500;2014;01;01;6;-1,9;;;;;75,0;2,6;3,6;306;306;994,2;;;;;;
428500;2014;01;01;7;-1,8;;;;;73,0;2,6;3,6;307;307;993,8;;;;;;
428500;2014;01;01;8;-1,1;;;;;67,0;4,6;5,1;312;312;993,3;;;;;;
428500;2014;01;01;9;-0,1;;;;;62,0;3,6;4,6;305;305;992,8;;;;;;
428500;2014;01;01;10;1,5;;;;;52,0;1,0;2,1;299;299;992,5;;;;;;
428500;2014;01;01;11;2,9;;;;;53,0;1,0;2,1;77;77;992,2;;;;;;
428500;2014;01;01;12;4,1;;;;;47,0;2,6;4,6;68;68;991,5;;;;;;
428500;2014;01;01;13;4,2;;;;;45,0;2,1;3,1;194;194;990,9;;;;;;
428500;2014;01;01;14;2,3;;;;;58,0;3,1;3,6;250;250;990,3;;;;;;
428500;2014;01;01;15;3,8;;;;;49,0;1,0;3,1;72;72;989,8;;;;;;
428500;2014;01;01;16;4,6;;;;;51,0;5,1;6,2;82;82;989,0;;;;;;
428500;2014;01;01;17;5,4;;;;;46,0;10,3;13,4;72;72;988,3;;;;;;
428500;2014;01;01;18;;;;;;51,0;8,8;11,3;69;69;988,0;;;;;;
428500;2014;01;01;19;4,8;;;;;49,0;8,8;11,3;62;62;987,9;;;;;;
428500;2014;01;01;20;3,9;;;;;53,0;6,2;11,3;81;81;988,1;;;;;;
428500;2014;01;01;21;4,0;;;;;49,0;11,3;13,9;51;51;987,6;;;;;;
428500;2014;01;01;22;3,4;;;;;53,0;10,3;13,9;57;57;986,9;;;;;;
428500;2014;01;01;23;4,0;;;;;48,0;8,8;12,4;55;55;986,4;;;;;;
428500;2014;01;02;0;4,9;;;;;42,0;7,7;11,3;61;61;986,4;;;;;;
428500;2014;01;02;1;4,7;;;;;45,0;11,3;14,9;71;71;985,5;;;;;;
428500;2014;01;02;2;4,3;;;;;47,0;9,3;11,8;64;64;985,8;;;;;;
428500;2014;01;02;3;3,9;;;;;47,0;8,8;14,4;69;69;985,8;;;;;;
428500;2014;01;02;4;3,3;;;;;47,0;10,3;13,4;61;61;986,1;;;;;;
428500;2014;01;02;5;3,2;;;;;46,0;10,3;12,9;54;54;986,3;;;;;;
428500;2014;01;02;6;2,6;;;;;49,0;8,2;10,8;44;44;986,5;;;;;;
428500;2014;01;02;7;3,4;;;;;41,0;6,7;10,3;37;37;986,6;;;;;;
428500;2014;01;02;8;2,3;;;;;47,0;7,2;10,3;46;46;987,1;;;;;;
428500;2014;01;02;9;2,5;;;;;43,0;8,8;11,8;49;49;987,3;;;;;;
428500;2014;01;02;10;2,5;;;;;40,0;6,2;8,8;90;90;987,3;;;;;;
428500;2014;01;02;11;1,4;;;;;52,0;3,1;5,1;177;177;987,9;;;;;;
428500;2014;01;02;12;1,0;;;;;50,0;4,1;5,1;260;260;987,9;;;;;;
428500;2014;01;02;13;1,4;;;;;51,0;3,1;4,1;316;316;988,4;;;;;;
428500;2014;01;02;14;2,1;;;;;46,0;2,6;4,6;118;118;988,6;;;;;;
428500;2014;01;02;15;1,0;;;;;50,0;6,2;8,8;22;22;988,5;;;;;;
428500;2014;01;02;16;1,2;;;;;48,0;7,7;9,8;26;26;988,5;;;;;;
428500;2014;01;02;17;1,0;;;;;50,0;7,7;9,3;18;18;988,4;;;;;;
428500;2014;01;02;18;1,2;;;;;49,0;8,8;11,8;32;32;988,7;;;;;;
428500;2014;01;02;19;0,9;;;;;50,0;7,7;10,8;28;28;989,6;;;;;;
428500;2014;01;02;20;0,8;;;;;49,0;8,8;11,3;27;27;989,8;;;;;;
428500;2014;01;02;21;0,5;;;;;51,0;7,7;9,8;24;24;990,0;;;;;;
428500;2014;01;02;22;;;;;;50,0;7,2;10,3;30;30;990,2;;;;;;
428500;2014;01;02;23;0,2;;;;;47,0;7,7;9,3;30;30;990,3;;;;;;
428500;2014;01;03;0;0,0;;;;;43,0;9,3;10,8;20;20;990,8;;;;;;
428500;2014;01;03;1;-0,1;;;;;46,0;9,3;11,3;19;19;991,2;;;;;;
428500;2014;01;03;2;-0,3;;;;;47,0;6,7;7,7;19;19;991,7;;;;;;
428500;2014;01;03;3;-0,6;;;;;48,0;6,7;7,2;18;18;991,9;;;;;;
428500;2014;01;03;4;-0,5;;;;;49,0;6,7;8,2;22;22;992,5;;;;;;
428500;2014;01;03;5;-0,8;;;;;48,0;5,1;6,2;35;35;992,5;;;;;;
428500;2014;01;03;6;-0,6;;;;;54,0;3,6;5,1;356;356;992,8;;;;;;
428500;2014;01;03;7;-1,0;;;;;55,0;3,6;5,1;344;344;993,4;;;;;;
428500;2014;01;03;8;-1,0;;;;;53,0;5,1;6,2;329;329;994,1;;;;;;
428500;2014;01;03;9;-0,9;;;;;56,0;5,1;6,2;324;324;994,7;;;;;;
428500;2014;01;03;10;-1,1;;;;;56,0;3,1;4,1;341;341;995,2;;;;;;
428500;2014;01;03;11;-1,5;;;;;63,0;1,0;1,5;344;344;995,5;;;;;;
428500;2014;01;03;12;-1,8;;;;;62,0;2,6;3,1;98;98;996,0;;;;;;
428500;2014;01;03;13;-1,6;;;;;72,0;2,1;3,1;91;91;996,4;;;;;;
428500;2014;01;03;14;-1,8;;;;;64,0;3,6;4,1;63;63;996,5;;;;;;
428500;2014;01;03;15;-1,7;;;;;65,0;1,5;2,1;63;63;996,8;;;;;;
428500;2014;01;03;16;-1,5;;;;;59,0;1,0;1,0;183;183;996,8;;;;;;
428500;2014;01;03;17;-2,1;;;;;64,0;1,0;2,1;226;226;996,8;;;;;;
428500;2014;01;03;18;-1,6;;;;;58,0;0,5;1,0;11;11;997,1;;;;;;
428500;2014;01;03;19;-2,0;;;;;66,0;4,1;4,6;47;47;997,2;;;;;;
428500;2014;01;03;20;-1,7;;;;;64,0;3,6;4,1;61;61;997,5;;;;;;
428500;2014;01;03;21;-1,8;;;;;62,0;3,6;4,6;50;50;997,4;;;;;;
428500;2014;01;03;22;-2,0;;;;;62,0;5,1;5,7;54;54;997,3;;;;;;
428500;2014;01;03;23;-1,7;;;;;64,0;3,6;4,6;68;68;997,2;;;;;;
428500;2014;01;04;0;-1,9;;;;;56,0;3,6;4,1;55;55;997,4;;;;;;
428500;2014;01;04;1;-1,8;;;;;60,0;2,1;2,6;69;69;996,9;;;;;;
428500;2014;01;04;2;-2,3;;;;;69,0;2,6;3,1;62;62;996,5;;;;;;
428500;2014;01;04;3;-2,2;;;;;70,0;3,6;4,1;49;49;995,9;;;;;;
428500;2014;01;04;4;-1,9;;;;;60,0;2,1;2,1;19;19;995,3;;;;;;
428500;2014;01;04;5;-2,7;;;;;71,0;2,1;2,6;316;316;994,8;;;;;;
428500;2014;01;04;6;-1,8;;;;;70,0;1,0;1,5;8;8;994,4;;;;;;
428500;2014;01;04;7;-2,5;;;;;67,0;0,5;0,5;137;137;994,0;;;;;;
428500;2014;01;04;8;-2,6;;;;;70,0;1,5;2,1;289;289;993,4;;;;;;
428500;2014;01;04;9;-1,7;;;;;64,0;0,5;1,5;347;347;993,1;;;;;;
428500;2014;01;04;10;-1,7;;;;;72,0;1,5;3,1;306;306;992,2;;;;;;
428500;2014;01;04;11;-2,2;;;;;69,0;3,6;4,1;313;313;991,3;;;;;;
428500;2014;01;04;12;-2,7;;;;;73,0;4,6;5,7;335;335;990,5;;;;;;
428500;2014;01;04;13;-2,4;;;;;69,0;5,1;6,2;326;326;989,8;;;;;;
428500;2014;01;04;14;-2,1;;;;;68,0;6,2;6,7;313;313;988,8;;;;;;
428500;2014;01;04;15;-2,2;;;;;70,0;5,7;6,2;324;324;987,6;;;;;;
428500;2014;01;04;16;-1,8;;;;;72,0;6,2;7,2;316;316;986,2;;;;;;
428500;2014;01;04;17;-1,6;;;;;70,0;7,7;9,3;329;329;985,2;;;;;;
428500;2014;01;04;18;-1,4;;;;;69,0;6,2;7,2;313;313;984,9;;;;;;
428500;2014;01;04;19;-1,1;;;;;66,0;6,7;7,7;318;318;984,6;;;;;;
428500;2014;01;04;20;-1,4;;;;;67,0;7,7;9,3;308;308;984,5;;;;;;
428500;2014;01;04;21;-1,2;;;;;70,0;6,7;8,8;338;338;984,7;;;;;;
428500;2014;01;04;22;-1,1;;;;;74,0;3,6;4,6;304;304;984,8;;;;;;
428500;2014;01;04;23;-0,8;;;;;71,0;3,6;4,6;295;295;985,0;;;;;;
428500;2014;01;05;0;-1,1;;;;;74,0;4,6;5,1;308;308;985,2;;;;;;
428500;2014;01;05;1;-1,2;;;;;75,0;2,6;4,6;279;279;985,4;;;;;;
428500;2014;01;05;2;-0,5;;;;;69,0;3,6;4,1;311;311;985,6;;;;;;
428500;2014;01;05;3;-0,9;;;;;71,0;2,1;3,1;286;286;986,1;;;;;;
428500;2014;01;05;4;-0,3;;;;;61,0;2,1;2,1;243;243;986,7;;;;;;
428500;2014;01;05;5;-0,6;;;;;62,0;1,0;1,5;254;254;987,5;;;;;;
428500;2014;01;05;6;-0,7;;;;;72,0;0,5;1,0;260;260;988,3;;;;;;
428500;2014;01;05;7;-0,4;;;;;61,0;1,0;1,5;232;232;988,9;;;;;;
428500;2014;01;05;8;0,8;;;;;59,0;3,6;4,6;287;287;989,7;;;;;;
428500;2014;01;05;9;0,2;;;;;64,0;3,1;4,1;306;306;990,4;;;;;;
428500;2014;01;05;10;0,3;;;;;76,0;2,1;2,1;30;30;990,9;;;;;;
428500;2014;01;05;11;0,3;;;;;67,0;2,6;3,6;61;61;991,3;;;;;;
428500;2014;01;05;12;0,2;;;;;72,0;2,1;3,1;162;162;991,8;;;;;;
428500;2014;01;05;13;-0,4;;;;;72,0;2,6;4,1;300;300;992,3;;;;;;
428500;2014;01;05;14;-0,1;;;;;72,0;1,0;1,5;270;270;992,5;;;;;;
428500;2014;01;05;15;-0,4;;;;;72,0;3,6;4,1;299;299;992,8;;;;;;
428500;2014;01;05;16;0,1;;;;;76,0;2,1;3,1;330;330;993,1;;;;;;
428500;2014;01;05;17;-0,2;;;;;75,0;2,6;3,6;311;311;993,3;;;;;;
428500;2014;01;05;18;-0,1;;;;;72,0;2,6;3,6;352;352;993,9;;;;;;
428500;2014;01;05;19;-0,3;;;;;70,0;2,1;3,1;329;329;994,4;;;;;;
428500;2014;01;05;20;-0,2;;;;;76,0;1,5;1,5;333;333;995,2;;;;;;
428500;2014;01;05;21;-0,6;;;;;81,0;2,6;3,1;297;297;995,5;;;;;;
428500;2014;01;05;22;-0,8;;;;;87,0;3,6;4,1;305;305;996,1;;;;;;
428500;2014;01;05;23;-0,8;;;;;94,0;4,1;4,6;306;306;996,5;;;;;;
428500;2014;01;06;0;-0,7;;;;;93,0;4,6;4,6;309;309;997,0;;;;;;
428500;2014;01;06;1;-0,6;;;;;95,0;4,6;5,7;305;305;997,4;;;;;;
428500;2014;01;06;2;-0,5;;;;;94,0;5,7;6,2;311;311;997,7;;;;;;
428500;2014;01;06;3;-0,5;;;;;88,0;4,6;5,7;307;307;997,9;;;;;;
428500;2014;01;06;4;-0,7;;;;;84,0;4,1;4,6;303;303;998,1;;;;;;
428500;2014;01;06;5;-0,7;;;;;81,0;4,1;4,6;305;305;998,6;;;;;;
428500;2014;01;06;6;-0,6;;;;;89,0;5,1;6,2;306;306;999,0;;;;;;
428500;2014;01;06;7;-0,7;;;;;93,0;6,7;8,2;306;306;999,9;;;;;;
428500;2014;01;06;8;-0,8;;;;;96,0;6,2;7,2;294;294;1000,3;;;;;;
428500;2014;01;06;9;;;;;;94,0;6,7;7,7;292;292;1000,8;;;;;;
428500;2014;01;06;10;-0,8;;;;;95,0;6,7;7,7;302;302;1001,4;;;;;;
428500;2014;01;06;11;-0,8;;;;;94,0;7,7;9,3;306;306;1002,1;;;;;;
428500;2014;01;06;12;-0,8;;;;;95,0;7,2;9,3;306;306;1003,1;;;;;;
428500;2014;01;06;13;-1,2;;;;;96,0;6,7;7,7;309;309;1004,0;;;;;;
428500;2014;01;06;14;-1,0;;;;;97,0;7,2;8,8;298;298;1004,5;;;;;;
428500;2014;01;06;15;-1,1;;;;;97,0;8,8;10,3;307;307;1004,8;;;;;;
428500;2014;01;06;16;-1,3;;;;;97,0;9,8;11,3;305;305;1005,0;;;;;;
428500;2014;01;06;17;-1,5;;;;;98,0;8,8;10,8;305;305;1005,2;;;;;;
428500;2014;01;06;18;-2,2;;;;;98,0;8,8;9,8;296;296;1005,4;;;;;;
428500;2014;01;06;19;-2,1;;;;;99,0;8,8;10,3;298;298;1006,3;;;;;;
428500;2014;01;06;20;-1,7;;;;;98,0;7,7;9,3;303;303;1006,7;;;;;;
428500;2014;01;06;21;-1,4;;;;;90,0;9,8;11,8;304;304;1007,0;;;;;;
428500;2014;01;06;22;-1,3;;;;;85,0;9,3;10,8;308;308;1007,2;;;;;;
428500;2014;01;06;23;-1,4;;;;;82,0;10,3;12,4;301;301;1006,9;;;;;;
428500;2014;01;07;0;-1,8;;;;;86,0;11,3;12,9;296;296;1006,4;;;;;;
428500;2014;01;07;1;-2,2;;;;;90,0;9,8;12,4;307;307;1006,2;;;;;;
428500;2014;01;07;2;-1,9;;;;;83,0;15,4;18,0;290;290;1006,2;;;;;;
428500;2014;01;07;3;-1,9;;;;;77,0;12,9;16,5;304;304;1005,4;;;;;;
428500;2014;01;07;4;-2,2;;;;;76,0;11,3;13,4;299;299;1006,1;;;;;;
428500;2014;01;07;5;-2,3;;;;;80,0;10,8;12,9;301;301;1006,1;;;;;;
