Station;År;Måned;Dag;Time(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
425300;2014;01;01;0;-4,6;;;;;77,0;2,1;3,1;38;38;999,9;;;;;;
425300;2014;01;01;1;-4,2;;;;;64,0;2,1;3,6;45;45;999,7;;;;;;
425300;2014;01;01;2;-4,0;;;;;70,0;1,0;1,5;34;34;999,4;;;;;;
425300;2014;01;01;3;-4,5;;;;;71,0;2,1;3,1;55;55;998,9;;;;;;
425300;2014;01;01;4;-4,4;;;;;71,0;2,1;3,1;43;43;998,0;;;;;;
425300;2014;01;01;5;-4,4;;;;;72,0;3,1;4,1;45;45;997,5;;;;;;
425300;2014;01;01;6;-3,2;;;;;63,0;3,1;4,1;99;99;997,6;;;;;;
425300;2014;01;01;7;-2,0;;;;;59,0;3,1;4,1;99;99;997,4;;;;;;
425300;2014;01;01;8;-1,4;;;;;58,0;4,1;6,2;109;109;997,0;;;;;;
425300;2014;01;01;9;-1,8;;;;;67,0;3,6;5,1;80;80;996,6;;;;;;
425300;2014;01;01;10;-2,2;;;;;69,0;4,1;5,1;72;72;996,2;;;;;;
425300;2014;01;01;11;-1,0;;;;;58,0;2,6;4,6;53;53;996,0;;;;;;
425300;2014;01;01;12;0,5;;;;;53,0;4,1;5,1;83;83;995,8;;;;;;
425300;2014;01;01;13;1,1;;;;;51,0;3,6;7,7;105;105;995,5;;;;;;
425300;2014;01;01;14;-0,1;;;;;62,0;2,1;5,1;28;28;995,1;;;;;;
425300;2014;01;01;15;1,7;;;;;52,0;3,6;6,2;20;20;994,5;;;;;;
425300;2014;01;01;16;2,7;;;;;44,0;3,6;9,3;59;59;993,9;;;;;;
425300;2014;01;01;17;1,0;;;;;60,0;6,7;9,3;121;121;993,0;;;;;;
425300;2014;01;01;18;0,9;;;;;58,0;9,3;11,8;117;117;992,6;;;;;;
425300;2014;01;01;19;1,0;;;;;57,0;10,8;13,9;115;115;992,8;;;;;;
425300;2014;01;01;20;1,0;;;;;56,0;10,8;14,4;117;117;993,0;;;;;;
425300;2014;01;01;21;0,7;;;;;57,0;10,8;13,9;117;117;993,1;;;;;;
425300;2014;01;01;22;0,9;;;;;53,0;9,3;12,4;112;112;993,0;;;;;;
425300;2014;01;01;23;0,8;;;;;55,0;9,3;11,8;57;57;993,0;;;;;;
425300;2014;01;02;0;2,5;;;;;42,0;8,8;15,4;63;63;992,4;;;;;;
425300;2014;01;02;1;1,8;;;;;50,0;10,3;16,0;64;64;992,0;;;;;;
425300;2014;01;02;2;3,5;;;;;36,0;12,4;17,5;75;75;991,6;;;;;;
425300;2014;01;02;3;3,6;;;;;35,0;8,8;14,9;82;82;991,4;;;;;;
425300;2014;01;02;4;2,3;;;;;41,0;14,4;20,1;77;77;991,3;;;;;;
425300;2014;01;02;5;2,4;;;;;41,0;7,7;10,3;71;71;991,2;;;;;;
425300;2014;01;02;6;1,5;;;;;47,0;5,1;9,3;60;60;991,2;;;;;;
425300;2014;01;02;7;2,0;;;;;39,0;9,3;14,4;85;85;991,0;;;;;;
425300;2014;01;02;8;0,4;;;;;56,0;4,1;6,2;18;18;991,3;;;;;;
