Station;År;Måned;Dag;Time(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
422800;2014;01;01;0;-4,7;;;;;77,0;4,1;5,1;38;38;1006,0;;;;;;
422800;2014;01;01;1;-5,1;;;;;78,0;5,7;6,7;43;43;1005,9;;;;;;
422800;2014;01;01;2;-5,2;;;;;76,0;5,1;6,2;41;41;1005,7;;;;;;
422800;2014;01;01;3;-5,2;;;;;78,0;4,1;4,6;38;38;1005,1;;;;;;
422800;2014;01;01;4;-5,2;;;;;79,0;5,1;5,7;21;21;1004,5;;;;;;
422800;2014;01;01;5;-5,5;;;;;79,0;6,2;7,7;39;39;1004,4;;;;;;
422800;2014;01;01;6;-5,4;;;;;80,0;6,7;7,7;18;18;1003,9;;;;;;
422800;2014;01;01;7;-5,4;;;;;78,0;7,7;9,3;29;29;1003,6;;;;;;
422800;2014;01;01;8;-5,7;;;;;75,0;6,7;8,2;35;35;1003,4;;;;;;
422800;2014;01;01;9;-5,8;;;;;76,0;6,2;7,2;18;18;1002,9;;;;;;
422800;2014;01;01;10;-6,3;;;;;71,0;7,2;8,8;36;36;1002,7;;;;;;
422800;2014;01;01;11;-6,3;;;;;74,0;5,7;7,7;19;19;1002,1;;;;;;
422800;2014;01;01;12;-6,7;;;;;75,0;5,7;6,7;41;41;1001,9;;;;;;
422800;2014;01;01;13;-6,8;;;;;75,0;4,1;5,1;50;50;1001,6;;;;;;
422800;2014;01;01;14;-6,7;;;;;75,0;4,1;5,7;38;38;1001,4;;;;;;
422800;2014;01;01;15;-6,5;;;;;75,0;3,6;4,6;33;33;1001,3;;;;;;
422800;2014;01;01;16;-6,6;;;;;75,0;3,1;4,1;36;36;1001,4;;;;;;
422800;2014;01;01;17;-6,1;;;;;77,0;3,6;4,6;8;8;1000,6;;;;;;
422800;2014;01;01;18;-6,1;;;;;76,0;3,6;4,1;34;34;1000,7;;;;;;
422800;2014;01;01;19;-5,9;;;;;77,0;1,5;2,6;43;43;1000,8;;;;;;
422800;2014;01;01;20;-5,5;;;;;78,0;1,5;2,1;12;12;1001,1;;;;;;
422800;2014;01;01;21;-5,2;;;;;76,0;2,6;3,6;4;4;1001,2;;;;;;
422800;2014;01;01;22;-5,2;;;;;73,0;1,5;2,1;21;21;1001,4;;;;;;
422800;2014;01;01;23;-5,1;;;;;78,0;1,0;1,5;83;83;1001,4;;;;;;
422800;2014;01;02;0;-5,3;;;;;82,0;1,0;1,5;104;104;1001,7;;;;;;
422800;2014;01;02;1;-5,0;;;;;84,0;0,5;1,0;36;36;1001,6;;;;;;
422800;2014;01;02;2;-5,5;;;;;85,0;0,5;1,0;94;94;1001,7;;;;;;
422800;2014;01;02;3;-5,8;;;;;86,0;1,5;2,1;91;91;1001,4;;;;;;
422800;2014;01;02;4;-5,3;;;;;87,0;1,5;2,1;61;61;1001,5;;;;;;
422800;2014;01;02;5;-4,8;;;;;87,0;3,1;4,1;19;19;1001,5;;;;;;
422800;2014;01;02;6;-4,8;;;;;88,0;3,6;4,6;38;38;1001,6;;;;;;
422800;2014;01;02;7;-4,6;;;;;87,0;4,6;5,7;32;32;1001,8;;;;;;
422800;2014;01;02;8;-3,7;;;;;84,0;5,1;6,2;5;5;1001,8;;;;;;
422800;2014;01;02;9;-4,5;;;;;86,0;4,6;5,7;38;38;1002,1;;;;;;
422800;2014;01;02;10;-3,9;;;;;84,0;5,1;6,2;22;22;1002,2;;;;;;
422800;2014;01;02;11;-3,6;;;;;83,0;5,7;6,7;19;19;1002,3;;;;;;
422800;2014;01;02;12;;;;;;84,0;6,2;8,2;18;18;1002,3;;;;;;
422800;2014;01;02;13;-3,1;;;;;82,0;8,8;10,8;18;18;1002,5;;;;;;
422800;2014;01;02;14;-3,4;;;;;80,0;6,2;9,3;31;31;1002,4;;;;;;
422800;2014;01;02;15;-2,4;;;;;71,0;8,8;10,3;12;12;1002,2;;;;;;
422800;2014;01;02;16;-3,1;;;;;87,0;11,3;12,9;342;342;1001,8;;;;;;
422800;2014;01;02;17;-3,9;;;;;89,0;10,8;13,4;334;334;1002,1;;;;;;
422800;2014;01;02;18;-4,2;;;;;90,0;11,3;13,4;336;336;1002,2;;;;;;
422800;2014;01;02;19;-4,6;;;;;89,0;9,3;11,8;339;339;1002,5;;;;;;
422800;2014;01;02;20;-4,3;;;;;89,0;8,8;11,3;342;342;1002,8;;;;;;
422800;2014;01;02;21;-3,5;;;;;84,0;9,8;12,9;348;348;1002,9;;;;;;
422800;2014;01;02;22;-2,8;;;;;79,0;10,3;12,4;347;347;1002,8;;;;;;
422800;2014;01;02;23;-2,7;;;;;71,0;10,3;12,9;353;353;1003,2;;;;;;
422800;2014;01;03;0;-2,6;;;;;62,0;11,3;14,4;359;359;1003,4;;;;;;
422800;2014;01;03;1;-2,9;;;;;65,0;7,7;9,3;13;13;1003,7;;;;;;
422800;2014;01;03;2;-3,5;;;;;65,0;7,7;9,8;35;35;1004,1;;;;;;
422800;2014;01;03;3;-3,6;;;;;66,0;6,7;8,2;18;18;1004,3;;;;;;
422800;2014;01;03;4;-3,8;;;;;68,0;6,2;7,7;27;27;1004,4;;;;;;
422800;2014;01;03;5;-4,3;;;;;67,0;5,7;7,2;39;39;1004,7;;;;;;
422800;2014;01;03;6;-4,6;;;;;67,0;5,1;6,2;48;48;1004,9;;;;;;
422800;2014;01;03;7;-4,5;;;;;67,0;4,1;5,7;42;42;1005,5;;;;;;
422800;2014;01;03;8;-4,7;;;;;68,0;3,6;4,6;70;70;1005,7;;;;;;
422800;2014;01;03;9;-4,4;;;;;67,0;3,1;4,1;57;57;1006,0;;;;;;
422800;2014;01;03;10;-4,9;;;;;67,0;2,6;3,6;108;108;1006,4;;;;;;
422800;2014;01;03;11;-4,8;;;;;63,0;4,1;5,1;54;54;1006,6;;;;;;
422800;2014;01;03;12;-5,2;;;;;61,0;5,1;6,2;46;46;1007,1;;;;;;
422800;2014;01;03;13;-5,2;;;;;62,0;5,7;7,2;55;55;1007,3;;;;;;
422800;2014;01;03;14;-5,3;;;;;59,0;6,7;8,2;56;56;1007,5;;;;;;
422800;2014;01;03;15;-5,8;;;;;59,0;6,7;8,2;58;58;1007,5;;;;;;
422800;2014;01;03;16;-5,8;;;;;60,0;6,2;7,7;60;60;1007,6;;;;;;
422800;2014;01;03;17;-5,9;;;;;58,0;5,7;7,2;53;53;1007,9;;;;;;
422800;2014;01;03;18;-6,3;;;;;59,0;5,1;6,2;53;53;1007,8;;;;;;
422800;2014;01;03;19;-6,4;;;;;57,0;6,2;7,7;42;42;1008,3;;;;;;
422800;2014;01;03;20;-6,7;;;;;61,0;7,2;8,8;58;58;1008,4;;;;;;
422800;2014;01;03;21;-6,8;;;;;59,0;7,7;9,8;59;59;1008,4;;;;;;
422800;2014;01;03;22;-6,4;;;;;63,0;8,8;10,8;50;50;1008,5;;;;;;
422800;2014;01;03;23;-7,0;;;;;58,0;8,8;10,8;33;33;1008,8;;;;;;
422800;2014;01;04;0;-6,8;;;;;58,0;9,8;11,8;24;24;1008,6;;;;;;
422800;2014;01;04;1;-6,8;;;;;52,0;9,3;11,3;29;29;1008,5;;;;;;
422800;2014;01;04;2;-6,9;;;;;55,0;8,2;10,3;28;28;1008,4;;;;;;
422800;2014;01;04;3;-7,0;;;;;56,0;7,2;9,8;33;33;1008,1;;;;;;
422800;2014;01;04;4;-8,0;;;;;54,0;7,2;8,8;40;40;1007,8;;;;;;
422800;2014;01;04;5;-8,1;;;;;57,0;7,2;9,3;38;38;1007,4;;;;;;
422800;2014;01;04;6;-8,1;;;;;62,0;6,7;8,2;46;46;1007,2;;;;;;
422800;2014;01;04;7;-8,0;;;;;62,0;6,7;8,2;53;53;1007,2;;;;;;
422800;2014;01;04;8;-8,3;;;;;57,0;5,7;7,2;58;58;1007,1;;;;;;
422800;2014;01;04;9;-8,4;;;;;53,0;5,1;6,2;61;61;1006,9;;;;;;
422800;2014;01;04;10;-8,5;;;;;56,0;4,1;5,7;76;76;1006,9;;;;;;
422800;2014;01;04;11;-8,8;;;;;54,0;3,6;5,7;88;88;1006,9;;;;;;
422800;2014;01;04;12;-8,7;;;;;58,0;3,1;4,6;88;88;1007,0;;;;;;
422800;2014;01;04;13;-8,6;;;;;58,0;2,6;3,6;105;105;1007,0;;;;;;
422800;2014;01;04;14;-8,4;;;;;58,0;2,6;3,6;108;108;1007,1;;;;;;
422800;2014;01;04;15;-7,7;;;;;59,0;2,6;4,1;55;55;1007,2;;;;;;
422800;2014;01;04;16;-7,9;;;;;63,0;2,1;3,1;84;84;1007,0;;;;;;
422800;2014;01;04;17;-7,9;;;;;65,0;3,1;4,1;93;93;1007,2;;;;;;
422800;2014;01;04;18;-8,0;;;;;67,0;2,6;3,6;91;91;1007,3;;;;;;
422800;2014;01;04;19;-7,8;;;;;68,0;3,6;5,1;93;93;1007,5;;;;;;
422800;2014;01;04;20;-7,1;;;;;70,0;5,1;6,7;59;59;1008,0;;;;;;
422800;2014;01;04;21;-7,2;;;;;70,0;6,7;8,2;55;55;1008,3;;;;;;
422800;2014;01;04;22;-7,8;;;;;71,0;5,1;6,7;93;93;1008,3;;;;;;
422800;2014;01;04;23;-7,5;;;;;71,0;4,1;5,1;79;79;1008,6;;;;;;
422800;2014;01;05;0;-7,8;;;;;72,0;3,6;4,6;91;91;1008,3;;;;;;
422800;2014;01;05;1;-7,3;;;;;72,0;4,1;6,7;71;71;1008,1;;;;;;
422800;2014;01;05;2;-8,3;;;;;72,0;4,6;5,7;94;94;1007,9;;;;;;
422800;2014;01;05;3;-7,9;;;;;72,0;4,6;6,2;89;89;1007,4;;;;;;
422800;2014;01;05;4;-7,8;;;;;71,0;6,7;8,8;56;56;1007,2;;;;;;
422800;2014;01;05;5;-7,9;;;;;70,0;7,2;8,8;52;52;1006,8;;;;;;
422800;2014;01;05;6;-8,2;;;;;70,0;6,2;7,7;57;57;1006,5;;;;;;
422800;2014;01;05;7;-8,3;;;;;70,0;6,7;8,2;50;50;1006,0;;;;;;
422800;2014;01;05;8;-8,1;;;;;72,0;5,7;7,2;39;39;1005,9;;;;;;
422800;2014;01;05;9;-8,2;;;;;74,0;5,7;7,2;42;42;1005,7;;;;;;
422800;2014;01;05;10;-8,3;;;;;75,0;6,2;7,7;46;46;1005,4;;;;;;
422800;2014;01;05;11;-8,0;;;;;76,0;4,6;6,2;55;55;1004,9;;;;;;
422800;2014;01;05;12;-7,3;;;;;77,0;4,6;5,7;50;50;1004,4;;;;;;
422800;2014;01;05;13;-7,5;;;;;78,0;3,6;5,7;62;62;1004,1;;;;;;
422800;2014;01;05;14;-7,2;;;;;80,0;3,6;5,1;72;72;1003,8;;;;;;
422800;2014;01;05;15;-7,1;;;;;75,0;4,1;4,6;48;48;1003,5;;;;;;
422800;2014;01;05;16;-7,3;;;;;78,0;2,1;3,1;83;83;1003,2;;;;;;
422800;2014;01;05;17;-5,4;;;;;74,0;12,4;14,9;338;338;1002,6;;;;;;
422800;2014;01;05;18;-5,2;;;;;73,0;11,8;16,0;347;347;1002,8;;;;;;
422800;2014;01;05;19;-5,2;;;;;75,0;12,9;16,5;347;347;1002,9;;;;;;
422800;2014;01;05;20;-5,3;;;;;73,0;13,4;17,0;347;347;1003,1;;;;;;
422800;2014;01;05;21;-5,4;;;;;74,0;14,4;18,0;336;336;1003,4;;;;;;
422800;2014;01;05;22;-5,3;;;;;74,0;12,9;17,0;332;332;1003,9;;;;;;
422800;2014;01;05;23;-5,9;;;;;71,0;12,4;15,4;334;334;1004,5;;;;;;
422800;2014;01;06;0;-5,8;;;;;75,0;11,3;14,9;335;335;1004,9;;;;;;
422800;2014;01;06;1;-6,5;;;;;74,0;12,4;17,5;334;334;1004,9;;;;;;
422800;2014;01;06;2;-6,6;;;;;75,0;11,8;15,4;328;328;1005,4;;;;;;
422800;2014;01;06;3;-6,8;;;;;74,0;9,8;13,4;329;329;1005,9;;;;;;
422800;2014;01;06;4;-7,5;;;;;77,0;9,3;13,4;329;329;1006,0;;;;;;
422800;2014;01;06;5;-7,7;;;;;75,0;8,2;11,8;315;315;1006,4;;;;;;
422800;2014;01;06;6;-7,9;;;;;76,0;8,8;11,3;306;306;1006,9;;;;;;
422800;2014;01;06;7;-8,5;;;;;76,0;6,7;9,3;305;305;1007,6;;;;;;
422800;2014;01;06;8;-8,6;;;;;75,0;8,2;11,3;282;282;1008,1;;;;;;
422800;2014;01;06;9;-9,6;;;;;72,0;6,7;8,8;279;279;1009,0;;;;;;
422800;2014;01;06;10;-9,2;;;;;72,0;5,7;8,2;298;298;1009,7;;;;;;
422800;2014;01;06;11;-9,7;;;;;74,0;6,7;10,3;295;295;1010,4;;;;;;
422800;2014;01;06;12;-9,9;;;;;74,0;7,2;9,3;297;297;1011,4;;;;;;
422800;2014;01;06;13;-10,1;;;;;73,0;7,2;10,3;312;312;1012,1;;;;;;
422800;2014;01;06;14;-10,9;;;;;75,0;8,2;10,8;306;306;1013,0;;;;;;
422800;2014;01;06;15;-11,4;;;;;72,0;7,2;10,3;307;307;1013,6;;;;;;
422800;2014;01;06;16;-11,7;;;;;74,0;7,7;10,3;300;300;1014,5;;;;;;
422800;2014;01;06;17;-12,1;;;;;77,0;9,3;10,8;302;302;1015,2;;;;;;
422800;2014;01;06;18;-12,1;;;;;77,0;7,7;10,8;306;306;1016,3;;;;;;
422800;2014;01;06;19;-12,4;;;;;75,0;4,6;6,7;320;320;1017,2;;;;;;
422800;2014;01;06;20;-12,2;;;;;74,0;5,1;6,7;309;309;1017,9;;;;;;
422800;2014;01;06;21;-12,2;;;;;73,0;3,6;5,1;311;311;1018,4;;;;;;
422800;2014;01;06;22;-12,3;;;;;73,0;3,6;5,1;311;311;1018,9;;;;;;
422800;2014;01;06;23;-12,6;;;;;72,0;2,6;4,1;291;291;1019,2;;;;;;
422800;2014;01;07;0;-12,6;;;;;73,0;3,1;4,6;294;294;1019,4;;;;;;
422800;2014;01;07;1;-12,3;;;;;73,0;3,6;5,1;325;325;1019,4;;;;;;
422800;2014;01;07;2;-12,5;;;;;72,0;2,6;4,6;329;329;1019,7;;;;;;
422800;2014;01;07;3;;;;;;73,0;3,6;5,1;4;4;1019,1;;;;;;
422800;2014;01;07;4;-11,4;;;;;73,0;2,1;3,6;55;55;1018,9;;;;;;
422800;2014;01;07;5;-11,3;;;;;71,0;4,1;6,2;53;53;1018,7;;;;;;
422800;2014;01;07;6;-10,9;;;;;71,0;4,6;6,7;46;46;1018,0;;;;;;
422800;2014;01;07;7;-10,5;;;;;74,0;5,7;7,7;50;50;1017,5;;;;;;
422800;2014;01;07;8;-10,4;;;;;76,0;7,2;9,3;54;54;1016,8;;;;;;
422800;2014;01;07;9;-10,1;;;;;76,0;5,1;7,2;75;75;1016,6;;;;;;
422800;2014;01;07;10;-9,9;;;;;78,0;8,8;10,8;61;61;1014,7;;;;;;
422800;2014;01;07;11;-9,8;;;;;78,0;8,2;10,8;60;60;1013,5;;;;;;
422800;2014;01;07;12;-10,0;;;;;77,0;10,3;13,4;42;42;1011,9;;;;;;
422800;2014;01;07;13;-9,9;;;;;75,0;12,9;16,0;51;51;1009,9;;;;;;
422800;2014;01;07;14;-9,7;;;;;71,0;13,9;17,0;48;48;1008,4;;;;;;
422800;2014;01;07;15;-9,9;;;;;71,0;11,8;14,9;46;46;1007,5;;;;;;
422800;2014;01;07;16;-9,9;;;;;74,0;14,4;17,0;52;52;1003,9;;;;;;
422800;2014;01;07;17;-9,3;;;;;71,0;17,5;21,6;48;48;999,8;;;;;;
422800;2014;01;07;18;-8,6;;;;;69,0;11,8;14,4;53;53;997,6;;;;;;
422800;2014;01;07;19;-8,9;;;;;68,0;13,9;17,0;48;48;994,6;;;;;;
422800;2014;01;07;20;-8,4;;;;;72,0;15,4;19,0;38;38;991,4;;;;;;
422800;2014;01;07;21;-8,7;;;;;66,0;16,5;19,6;37;37;989,0;;;;;;
422800;2014;01;07;22;-8,2;;;;;72,0;16,5;20,1;38;38;985,1;;;;;;
422800;2014;01;07;23;-7,1;;;;;71,0;15,4;20,1;37;37;981,7;;;;;;
422800;2014;01;08;0;-5,7;;;;;71,0;11,8;13,9;28;28;977,9;;;;;;
422800;2014;01;08;1;-4,2;;;;;60,0;7,7;9,3;60;60;976,3;;;;;;
422800;2014;01;08;2;-3,3;;;;;63,0;5,1;6,7;106;106;974,6;;;;;;
422800;2014;01;08;3;-2,4;;;;;65,0;0,5;1,0;283;283;973,8;;;;;;
