Station;År;Måned;Dag;Time(utc);101;112;113;122;123;201;301;305;365;371;401;504;550;601;603;609;801
436100;2014;01;01;0;0,4;1,8;;-1,5;;61,0;6,4;14,3;46;59;1007,1;;;;;;100
436100;2014;01;01;1;0,9;2,1;;-0,7;;58,0;3,2;11,9;274;40;1007,2;;;;;;90
436100;2014;01;01;2;0,0;0,9;;-1,9;;65,0;9,0;14,5;75;82;1007,2;;;;;;100
436100;2014;01;01;3;0,0;0,6;;-0,4;;69,0;9,1;17,7;70;74;1007,7;;;;;;75
436100;2014;01;01;4;0,0;0,7;;-0,4;;68,0;11,9;19,3;71;69;1007,2;;;;;;90
436100;2014;01;01;5;0,0;0,6;;-0,5;;69,0;15,4;26,2;70;68;1006,8;;;;;;25
436100;2014;01;01;6;-0,1;0,3;2,1;-0,6;-1,9;70,0;16,0;27,9;73;72;1006,3;;;;;;90
436100;2014;01;01;7;0,0;0,4;;-1,0;;69,0;16,7;26,0;70;72;1007,4;;;;;;10
436100;2014;01;01;8;-0,2;0,2;;-0,7;;68,0;16,5;24,1;75;73;1008,1;;;;;;0
436100;2014;01;01;9;0,2;0,6;;-0,5;;61,0;15,8;25,2;73;71;1008,5;;;;;;10
436100;2014;01;01;10;0,4;0,8;;-0,3;;56,0;12,0;27,7;69;67;1009,0;;;;;;10
436100;2014;01;01;11;0,5;0,8;;0,1;;52,0;9,4;18,3;70;69;1009,5;;;;;;0
436100;2014;01;01;12;0,1;0,7;;-0,4;;47,0;9,4;17,4;76;74;1009,7;;;;;;0
436100;2014;01;01;13;-0,5;-0,1;;-1,1;;49,0;8,6;16,9;69;71;1010,2;;;;;;0
436100;2014;01;01;14;-0,6;-0,1;;-1,3;;52,0;5,5;14,8;61;68;1010,0;;;;;;0
436100;2014;01;01;15;-2,5;-0,7;;-4,3;;60,0;1,2;7,8;317;26;1010,0;;;;;;60
436100;2014;01;01;16;-2,9;-2,0;;-3,7;;61,0;0,6;2,7;319;294;1010,2;;;;;;50
436100;2014;01;01;17;-2,0;-1,4;;-2,8;;56,0;7,7;9,8;78;73;1009,8;;;;;;60
436100;2014;01;01;18;-2,2;-1,6;0,9;-2,9;-4,3;54,0;8,6;12,5;78;77;1009,8;;;;;;0
436100;2014;01;01;19;-2,9;-2,3;;-3,6;;56,0;7,6;12,1;87;82;1009,9;;;;;;0
436100;2014;01;01;20;-3,9;-3,2;;-4,5;;62,0;8,2;11,5;100;92;1009,9;;;;;;0
436100;2014;01;01;21;-3,9;-3,5;;-4,5;;61,0;8,9;11,5;82;91;1009,7;;;;;;0
436100;2014;01;01;22;-4,0;-3,5;;-4,8;;61,0;6,4;10,6;80;78;1009,5;;;;;;0
436100;2014;01;01;23;-4,6;-3,8;;-5,4;;61,0;4,0;8,4;50;67;1009,3;;;;;;0
436100;2014;01;02;0;-6,6;-5,0;;-7,6;;72,0;0,6;4,8;99;57;1008,9;;;;;;0
436100;2014;01;02;1;-7,2;-6,6;;-8,2;;74,0;0,9;1,7;173;248;1008,4;;;;;;0
436100;2014;01;02;2;-7,4;-6,9;;-8,1;;73,0;0,6;1,8;302;262;1008,1;;;;;;0
436100;2014;01;02;3;-6,5;-5,0;;-8,3;;65,0;6,7;9,6;81;60;1007,3;;;;;;0
436100;2014;01;02;4;-5,7;-5,1;;-6,3;;58,0;6,7;11,0;91;90;1007,0;;;;;;0
436100;2014;01;02;5;-5,4;-4,8;;-6,1;;54,0;8,0;11,3;85;87;1006,5;;;;;;0
